symbol	return_2018	return_2019
PH	-0.239954705	0.407520891
MCHP	-0.167067697	0.480257595
HSY	-0.080881859	0.408811091
DTE	0.051057099	0.213845852
ADM	0.052758671	0.171025965
MKC	0.3413035	0.241694406
ETR	0.106030849	0.443093755
F	-0.339406334	0.296397314
DLTR	-0.158326329	0.041297642
ARE	-0.089742626	0.440404673
VFC	-0.011881129	0.517589473
AME	-0.058925535	0.482686456
FTV	-0.061442115	0.133274354
KHC	-0.422481464	-0.212019295
INCY	-0.32858198	0.373171882
CHD	0.332281417	0.083620341
CTAS	0.090355837	0.617327868
O	0.15942741	0.212681297
MKTX	0.056332525	0.80662436
EFX	-0.199584436	0.523113223
SWKS	-0.283024731	0.841032414
BBY	-0.254777315	0.720711772
CTXS	0.168073451	0.097635939
MTD	-0.087067409	0.402595575
FRC	0.010695563	0.361582369
APTV	-0.267049563	0.5588951
TSN	-0.328228737	0.74647518
CAG	-0.419859952	0.654990008
CMS	0.015540656	0.308210801
CPRT	0.106274603	0.903306905
NTRS	-0.146805137	0.305857944
ESS	0.048273809	0.259202239
AKAM	-0.060885593	0.414210776
GLW	-0.032839714	-0.010239276
SWK	-0.281332502	0.412606286
DHI	-0.312640458	0.54289951
LH	-0.20782393	0.338793896
LVS	-0.216184442	0.395394768
TFX	0.044476935	0.462575314
FTNT	0.612039405	0.51583135
AJG	0.191861964	0.317850846
VMC	-0.239640798	0.475196985
LUV	-0.30209129	0.181747332
COO	0.168361102	0.262692039
MXIM	0.001933572	0.252466874
LYB	-0.216943773	0.194067896
TTWO	-0.062306404	0.189333569
LEN	-0.37909162	0.42957595
OXY	-0.130489292	-0.282831363
MTB	-0.145839154	0.216507409
PXD	-0.237698746	0.160774602
CAH	-0.239264757	0.18042106
TIF	-0.20950469	0.69792577
HOLX	-0.038596538	0.270316339
LDOS	-0.167161917	0.888230609
WY	-0.354629845	0.455726878
DOV	-0.110107809	0.657972506
IP	-0.277213662	0.194688775
DAL	-0.086609061	0.203763237
SJM	-0.225769612	0.148951681
ABC	-0.175695843	0.16480698
DFS	-0.217987776	0.469376038
HRL	0.137772634	0.089520257
BXP	-0.108582786	0.260869646
HIG	-0.192393748	0.397149061
FITB	-0.262402769	0.373627601
NUE	-0.16360926	0.118409092
ZBRA	0.534007624	0.604220363
ULTA	0.094697271	0.033899702
PEAK	0.136887951	0.291564052
XYL	-0.036935222	0.199585618
TSCO	0.133444297	0.135311221
HPE	-0.056212356	0.237367057
DRE	-0.079799011	0.384658241
ATO	0.103949901	0.231379388
OKE	0.062696634	0.47761531
HES	-0.13143973	0.677103757
KMX	-0.021830611	0.397576885
GWW	0.216861542	0.222488889
MLM	-0.21545596	0.641784222
STE	0.236580865	0.440886311
WAT	-0.023500222	0.238536981
FMC	-0.208359039	0.58612032
WDC	-0.519028952	0.771419225
CXO	-0.321708639	-0.140568429
GRMN	0.027596508	0.593755009
ANET	-0.105611702	-0.034646431
LNT	0.023697515	0.334262336
MAS	-0.326964262	0.662713933
IEX	-0.031599813	0.379447518
VTR	0.034451109	0.034249601
EXR	-0.008769743	0.218461542
GPC	-0.02830882	0.150666861
J	-0.105768754	0.54991833
QRVO	-0.088138111	0.913881163
KEY	-0.304853198	0.443537534
VAR	0.019433162	0.25328742
IT	0.038083589	0.205413101
RF	-0.205857775	0.333483303
CTL	0.019953537	-0.052241054
WAB	-0.132585753	0.11462921
CHRW	-0.036301471	-0.047092839
IR	-0.35299796	0.928033398
CE	-0.143059393	0.398518269
NTAP	0.096687161	0.07431879
EXPE	-0.049610921	-0.028992784
CFG	-0.274350262	0.418363408
CINF	0.062542925	0.388722523
BKR	-0.304258482	0.230141696
PFG	-0.349619003	0.297132308
NI	-0.054738839	0.147338451
AVY	-0.202752617	0.4854426
XRAY	-0.429959775	0.531432513
ETFC	-0.112171374	0.046995006
ALLE	0.011751286	0.578897401
HAL	-0.478999253	-0.038933863
URI	-0.40358329	0.626548382
HBAN	-0.22782294	0.341291187
DRI	0.068880495	0.12290724
CPB	-0.291195352	0.551927733
MYL	-0.352398975	-0.266423358
AES	0.390205777	0.421467743
LW	0.318109937	0.182665822
NRG	0.395895415	0.006884481
AAP	0.58216835	0.018700402
EMN	-0.190986775	0.120067959
COG	-0.236558217	-0.202635653
PNW	0.035762015	0.090610037
CNP	0.03699517	0.006107511
L	-0.085551144	0.158941724
FFIV	0.234796508	-0.138122602
UHS	0.031620993	0.236206802
HST	-0.124156514	0.154061596
GL	-0.172306473	0.42340625
HSIC	0.123640518	0.083392813
WRK	-0.383488292	0.192945151
RJF	-0.156500352	0.227956481
MGM	-0.291932593	0.407219327
JNPR	-0.030856621	-0.05659029
RCL	-0.161345919	0.39942062
PHM	-0.207622787	0.513269591
FANG	-0.263484747	0.009166788
DVA	-0.287750879	0.45802566
SNA	-0.148646176	0.195358791
REG	-0.120027769	0.114297443
DISCK	0.090222012	0.321057192
WHR	-0.344976588	0.428343785
LNC	-0.319787071	0.179537478
IRM	-0.079744581	0.058698357
RE	0.007250157	0.301665628
VNO	-0.266992748	0.160426686
AIZ	-0.09179445	0.497818186
IPG	0.060703092	0.16955828
ALB	-0.388894112	-0.032839024
DISH	-0.477068084	0.420504702
LYV	0.156918017	0.451167533
AOS	-0.293487241	0.136489327
PNR	-0.184782579	0.23680662
CF	0.051320739	0.127284276
ROL	0.182290918	-0.070714295
CCL	-0.233999933	0.073685958
BWA	-0.309749688	0.271337736
UAL	0.242284874	0.052072051
AIV	0.041414205	0.214452931
FRT	-0.147183151	0.136562214
PBCT	-0.197690598	0.221268384
ZION	-0.182544454	0.309978274
RHI	0.048231305	0.127560542
BEN	-0.34932364	-0.078521071
PWR	-0.229348988	0.358414554
HFC	-0.036782701	0.027850013
NWL	-0.375277486	0.094277098
MRO	-0.169021796	-0.034720287
APA	-0.406944614	0.022013875
DVN	-0.450876519	0.168103278
LEG	-0.222504115	0.471302184
DXC	-0.346242172	-0.279018132
KIM	-0.132609254	0.497456451
TPR	-0.21396332	-0.159723881
AAL	-0.376890632	-0.09571938
MOS	0.142977681	-0.252796051
NWSA	-0.289931875	0.264240384
RL	0.018165953	0.160690209
UNM	-0.45220417	0.026300663
ALK	-0.155488261	0.137815948
HBI	-0.380426487	0.229017178
DISCA	0.105451345	0.323363056
FLS	-0.123863301	0.348355153
HRB	0.004850885	-0.035484133
PVH	-0.321839351	0.133046901
HOG	-0.305395836	0.136155703
NCLH	-0.203943681	0.377919353
KSS	0.26652362	-0.19224359
LB	-0.543144746	-0.251783882
CPRI	-0.397617198	0.006065507
HP	-0.225832729	0.022735144
ADS	-0.401753637	-0.238215333
JWN	0.011367184	-0.083757996
UAA	0.224532225	0.222410866
UA	0.213963964	0.186147186
COTY	-0.65677636	0.791843352
NWS	-0.294658071	0.274441841
