country	continent	year	lifeExp	pop	gdpPercap
Austria	Europe	1962	69.5	7129864	10751
Austria	Europe	1967	70.1	7376998	12835
Austria	Europe	1972	70.6	7544201	16662
Austria	Europe	1977	72.2	7568430	19749
Austria	Europe	1982	73.2	7574613	21597
Austria	Europe	1987	74.9	7578903	23688
Austria	Europe	1992	76	7914969	27042
Austria	Europe	1997	77.5	8069876	29096
Austria	Europe	2002	79	8148312	32418
Austria	Europe	2007	79.8	8199783	36126
Bahrain	Asia	1952	50.9	120447	9867
Bahrain	Asia	1957	53.8	138655	11636
Bahrain	Asia	1962	56.9	171863	12753
Bahrain	Asia	1967	59.9	202182	14805
Bahrain	Asia	1972	63.3	230800	18269
Bahrain	Asia	1977	65.6	297410	19340
Bahrain	Asia	1982	69.1	377967	19211
Bahrain	Asia	1987	70.8	454612	18524
Bahrain	Asia	1992	72.6	529491	19036
Bahrain	Asia	1997	73.9	598561	20292
Bahrain	Asia	2002	74.8	656397	23404
Bahrain	Asia	2007	75.6	708573	29796
Bangladesh	Asia	1952	37.5	46886859	684
Bangladesh	Asia	1957	39.3	51365468	662
Bangladesh	Asia	1962	41.2	56839289	686
Bangladesh	Asia	1967	43.5	62821884	721
Bangladesh	Asia	1972	45.3	70759295	630
Bangladesh	Asia	1977	46.9	80428306	660
Bangladesh	Asia	1982	50	93074406	677
Bangladesh	Asia	1987	52.8	103764241	752
Bangladesh	Asia	1992	56	113704579	838
Bangladesh	Asia	1997	59.4	123315288	973
Bangladesh	Asia	2002	62	135656790	1136
Bangladesh	Asia	2007	64.1	150448339	1391
Belgium	Europe	1952	68	8730405	8343
Belgium	Europe	1957	69.2	8989111	9715
Belgium	Europe	1962	70.2	9218400	10991
Belgium	Europe	1967	70.9	9556500	13149
Belgium	Europe	1972	71.4	9709100	16672
Belgium	Europe	1977	72.8	9821800	19118
Belgium	Europe	1982	73.9	9856303	20980
Belgium	Europe	1987	75.4	9870200	22526
Belgium	Europe	1992	76.5	10045622	25576
Belgium	Europe	1997	77.5	10199787	27561
Belgium	Europe	2002	78.3	10311970	30486
Belgium	Europe	2007	79.4	10392226	33693
Benin	Africa	1952	38.2	1738315	1063
Benin	Africa	1957	40.4	1925173	960
Benin	Africa	1962	42.6	2151895	949
Benin	Africa	1967	44.9	2427334	1036
Benin	Africa	1972	47	2761407	1086
Benin	Africa	1977	49.2	3168267	1029
Benin	Africa	1982	50.9	3641603	1278
Benin	Africa	1987	52.3	4243788	1226
Benin	Africa	1992	53.9	4981671	1191
Benin	Africa	1997	54.8	6066080	1233
Benin	Africa	2002	54.4	7026113	1373
Benin	Africa	2007	56.7	8078314	1441
Bolivia	Americas	1952	40.4	2883315	2677
Bolivia	Americas	1957	41.9	3211738	2128
Bolivia	Americas	1962	43.4	3593918	2181
Bolivia	Americas	1967	45	4040665	2587
Bolivia	Americas	1972	46.7	4565872	2980
Bolivia	Americas	1977	50	5079716	3548
Bolivia	Americas	1982	53.9	5642224	3157
Bolivia	Americas	1987	57.3	6156369	2754
Bolivia	Americas	1992	60	6893451	2962
Bolivia	Americas	1997	62	7693188	3326
Bolivia	Americas	2002	63.9	8445134	3413
Bolivia	Americas	2007	65.6	9119152	3822
Bosnia and Herzegovina	Europe	1952	53.8	2791000	974
Bosnia and Herzegovina	Europe	1957	58.4	3076000	1354
Bosnia and Herzegovina	Europe	1962	61.9	3349000	1710
Bosnia and Herzegovina	Europe	1967	64.8	3585000	2172
Bosnia and Herzegovina	Europe	1972	67.4	3819000	2860
Bosnia and Herzegovina	Europe	1977	69.9	4086000	3528
Bosnia and Herzegovina	Europe	1982	70.7	4172693	4127
Bosnia and Herzegovina	Europe	1987	71.1	4338977	4314
Bosnia and Herzegovina	Europe	1992	72.2	4256013	2547
Bosnia and Herzegovina	Europe	1997	73.2	3607000	4766
Bosnia and Herzegovina	Europe	2002	74.1	4165416	6019
Bosnia and Herzegovina	Europe	2007	74.9	4552198	7446
Botswana	Africa	1952	47.6	442308	851
Botswana	Africa	1957	49.6	474639	918
Botswana	Africa	1962	51.5	512764	984
Botswana	Africa	1967	53.3	553541	1215
Botswana	Africa	1972	56	619351	2264
Botswana	Africa	1977	59.3	781472	3215
Botswana	Africa	1982	61.5	970347	4551
Botswana	Africa	1987	63.6	1151184	6206
Botswana	Africa	1992	62.7	1342614	7954
Botswana	Africa	1997	52.6	1536536	8647
Botswana	Africa	2002	46.6	1630347	11004
Botswana	Africa	2007	50.7	1639131	12570
Brazil	Americas	1952	50.9	56602560	2109
Brazil	Americas	1957	53.3	65551171	2487
Brazil	Americas	1962	55.7	76039390	3337
Brazil	Americas	1967	57.6	88049823	3430
Brazil	Americas	1972	59.5	100840058	4986
Brazil	Americas	1977	61.5	114313951	6660
Brazil	Americas	1982	63.3	128962939	7031
Brazil	Americas	1987	65.2	142938076	7807
Brazil	Americas	1992	67.1	155975974	6950
Brazil	Americas	1997	69.4	168546719	7958
Brazil	Americas	2002	71	179914212	8131
Brazil	Americas	2007	72.4	190010647	9066
Bulgaria	Europe	1952	59.6	7274900	2444
Bulgaria	Europe	1957	66.6	7651254	3009
Bulgaria	Europe	1962	69.5	8012946	4254
Bulgaria	Europe	1967	70.4	8310226	5577
Bulgaria	Europe	1972	70.9	8576200	6597
Bulgaria	Europe	1977	70.8	8797022	7612
Bulgaria	Europe	1982	71.1	8892098	8224
Bulgaria	Europe	1987	71.3	8971958	8240
Bulgaria	Europe	1992	71.2	8658506	6303
Bulgaria	Europe	1997	70.3	8066057	5970
Bulgaria	Europe	2002	72.1	7661799	7697
Bulgaria	Europe	2007	73	7322858	10681
Burkina Faso	Africa	1952	32	4469979	543
Burkina Faso	Africa	1957	34.9	4713416	617
Burkina Faso	Africa	1962	37.8	4919632	723
Burkina Faso	Africa	1967	40.7	5127935	795
Burkina Faso	Africa	1972	43.6	5433886	855
Burkina Faso	Africa	1977	46.1	5889574	743
Burkina Faso	Africa	1982	48.1	6634596	807
Burkina Faso	Africa	1987	49.6	7586551	912
Burkina Faso	Africa	1992	50.3	8878303	932
Burkina Faso	Africa	1997	50.3	10352843	946
Burkina Faso	Africa	2002	50.6	12251209	1038
Burkina Faso	Africa	2007	52.3	14326203	1217
Burundi	Africa	1952	39	2445618	339
Burundi	Africa	1957	40.5	2667518	380
Burundi	Africa	1962	42	2961915	355
Burundi	Africa	1967	43.5	3330989	413
Burundi	Africa	1972	44.1	3529983	464
Burundi	Africa	1977	45.9	3834415	556
Burundi	Africa	1982	47.5	4580410	560
Burundi	Africa	1987	48.2	5126023	622
Burundi	Africa	1992	44.7	5809236	632
Burundi	Africa	1997	45.3	6121610	463
Burundi	Africa	2002	47.4	7021078	446
Burundi	Africa	2007	49.6	8390505	430
Cambodia	Asia	1952	39.4	4693836	368
Cambodia	Asia	1957	41.4	5322536	434
Cambodia	Asia	1962	43.4	6083619	497
Cambodia	Asia	1967	45.4	6960067	523
Cambodia	Asia	1972	40.3	7450606	422
Cambodia	Asia	1977	31.2	6978607	525
Cambodia	Asia	1982	51	7272485	624
Cambodia	Asia	1987	53.9	8371791	684
Cambodia	Asia	1992	55.8	10150094	682
Cambodia	Asia	1997	56.5	11782962	734
Cambodia	Asia	2002	56.8	12926707	896
Cambodia	Asia	2007	59.7	14131858	1714
Cameroon	Africa	1952	38.5	5009067	1173
Cameroon	Africa	1957	40.4	5359923	1313
Cameroon	Africa	1962	42.6	5793633	1400
Cameroon	Africa	1967	44.8	6335506	1508
Cameroon	Africa	1972	47	7021028	1684
Cameroon	Africa	1977	49.4	7959865	1783
Cameroon	Africa	1982	53	9250831	2368
Cameroon	Africa	1987	55	10780667	2603
Cameroon	Africa	1992	54.3	12467171	1793
Cameroon	Africa	1997	52.2	14195809	1694
Cameroon	Africa	2002	49.9	15929988	1934
Cameroon	Africa	2007	50.4	17696293	2042
Canada	Americas	1952	68.8	14785584	11367
Canada	Americas	1957	70	17010154	12490
Canada	Americas	1962	71.3	18985849	13462
Canada	Americas	1967	72.1	20819767	16077
Canada	Americas	1972	72.9	22284500	18971
Canada	Americas	1977	74.2	23796400	22091
Canada	Americas	1982	75.8	25201900	22899
Canada	Americas	1987	76.9	26549700	26627
Canada	Americas	1992	78	28523502	26343
Canada	Americas	1997	78.6	30305843	28955
Canada	Americas	2002	79.8	31902268	33329
Canada	Americas	2007	80.7	33390141	36319
Central African Republic	Africa	1952	35.5	1291695	1071
Central African Republic	Africa	1957	37.5	1392284	1191
Central African Republic	Africa	1962	39.5	1523478	1193
Central African Republic	Africa	1967	41.5	1733638	1136
Central African Republic	Africa	1972	43.5	1927260	1070
Central African Republic	Africa	1977	46.8	2167533	1109
Central African Republic	Africa	1982	48.3	2476971	957
Central African Republic	Africa	1987	50.5	2840009	845
Central African Republic	Africa	1992	49.4	3265124	748
Central African Republic	Africa	1997	46.1	3696513	741
Central African Republic	Africa	2002	43.3	4048013	739
Central African Republic	Africa	2007	44.7	4369038	706
Chad	Africa	1952	38.1	2682462	1179
Chad	Africa	1957	39.9	2894855	1308
Chad	Africa	1962	41.7	3150417	1390
Chad	Africa	1967	43.6	3495967	1197
Chad	Africa	1972	45.6	3899068	1104
Chad	Africa	1977	47.4	4388260	1134
Chad	Africa	1982	49.5	4875118	798
Chad	Africa	1987	51.1	5498955	952
Chad	Africa	1992	51.7	6429417	1058
Chad	Africa	1997	51.6	7562011	1005
Chad	Africa	2002	50.5	8835739	1156
Chad	Africa	2007	50.7	10238807	1704
Chile	Americas	1952	54.7	6377619	3940
Chile	Americas	1957	56.1	7048426	4316
Chile	Americas	1962	57.9	7961258	4519
Chile	Americas	1967	60.5	8858908	5107
Chile	Americas	1972	63.4	9717524	5494
Chile	Americas	1977	67.1	10599793	4757
Chile	Americas	1982	70.6	11487112	5096
Chile	Americas	1987	72.5	12463354	5547
Chile	Americas	1992	74.1	13572994	7596
Chile	Americas	1997	75.8	14599929	10118
Chile	Americas	2002	77.9	15497046	10779
Chile	Americas	2007	78.6	16284741	13172
China	Asia	1952	44	556263527	400
China	Asia	1957	50.5	637408000	576
China	Asia	1962	44.5	665770000	488
China	Asia	1967	58.4	754550000	613
China	Asia	1972	63.1	862030000	677
China	Asia	1977	64	943455000	741
China	Asia	1982	65.5	1000281000	962
China	Asia	1987	67.3	1084035000	1379
China	Asia	1992	68.7	1164970000	1656
China	Asia	1997	70.4	1230075000	2289
China	Asia	2002	72	1280400000	3119
China	Asia	2007	73	1318683096	4959
Colombia	Americas	1952	50.6	12350771	2144
Colombia	Americas	1957	55.1	14485993	2324
Colombia	Americas	1962	57.9	17009885	2492
Colombia	Americas	1967	60	19764027	2679
Colombia	Americas	1972	61.6	22542890	3265
Colombia	Americas	1977	63.8	25094412	3816
Colombia	Americas	1982	66.7	27764644	4398
Colombia	Americas	1987	67.8	30964245	4903
Colombia	Americas	1992	68.4	34202721	5445
Colombia	Americas	1997	70.3	37657830	6117
Colombia	Americas	2002	71.7	41008227	5755
Colombia	Americas	2007	72.9	44227550	7007
Comoros	Africa	1952	40.7	153936	1103
Comoros	Africa	1957	42.5	170928	1211
Comoros	Africa	1962	44.5	191689	1407
Comoros	Africa	1967	46.5	217378	1876
Comoros	Africa	1972	48.9	250027	1938
Comoros	Africa	1977	50.9	304739	1173
Comoros	Africa	1982	52.9	348643	1267
Comoros	Africa	1987	54.9	395114	1316
Comoros	Africa	1992	57.9	454429	1247
Comoros	Africa	1997	60.7	527982	1174
Comoros	Africa	2002	63	614382	1076
Comoros	Africa	2007	65.2	710960	986
"Congo, Dem. Rep."	Africa	1952	39.1	14100005	781
"Congo, Dem. Rep."	Africa	1957	40.7	15577932	906
"Congo, Dem. Rep."	Africa	1962	42.1	17486434	896
"Congo, Dem. Rep."	Africa	1967	44.1	19941073	862
"Congo, Dem. Rep."	Africa	1972	46	23007669	905
"Congo, Dem. Rep."	Africa	1977	47.8	26480870	796
"Congo, Dem. Rep."	Africa	1982	47.8	30646495	674
"Congo, Dem. Rep."	Africa	1987	47.4	35481645	673
"Congo, Dem. Rep."	Africa	1992	45.5	41672143	458
"Congo, Dem. Rep."	Africa	1997	42.6	47798986	312
"Congo, Dem. Rep."	Africa	2002	45	55379852	241
"Congo, Dem. Rep."	Africa	2007	46.5	64606759	278
"Congo, Rep."	Africa	1952	42.1	854885	2126
"Congo, Rep."	Africa	1957	45.1	940458	2315
"Congo, Rep."	Africa	1962	48.4	1047924	2465
"Congo, Rep."	Africa	1967	52	1179760	2678
"Congo, Rep."	Africa	1972	54.9	1340458	3213
"Congo, Rep."	Africa	1977	55.6	1536769	3259
"Congo, Rep."	Africa	1982	56.7	1774735	4880
"Congo, Rep."	Africa	1987	57.5	2064095	4201
"Congo, Rep."	Africa	1992	56.4	2409073	4016
"Congo, Rep."	Africa	1997	53	2800947	3484
"Congo, Rep."	Africa	2002	53	3328795	3484
"Congo, Rep."	Africa	2007	55.3	3800610	3633
Costa Rica	Americas	1952	57.2	926317	2627
Costa Rica	Americas	1957	60	1112300	2990
Costa Rica	Americas	1962	62.8	1345187	3461
Costa Rica	Americas	1967	65.4	1588717	4162
Costa Rica	Americas	1972	67.8	1834796	5118
Costa Rica	Americas	1977	70.8	2108457	5927
Costa Rica	Americas	1982	73.4	2424367	5263
Costa Rica	Americas	1987	74.8	2799811	5630
Costa Rica	Americas	1992	75.7	3173216	6160
Costa Rica	Americas	1997	77.3	3518107	6677
Costa Rica	Americas	2002	78.1	3834934	7723
Costa Rica	Americas	2007	78.8	4133884	9645
Cote d'Ivoire	Africa	1952	40.5	2977019	1389
Cote d'Ivoire	Africa	1957	42.5	3300000	1501
Cote d'Ivoire	Africa	1962	44.9	3832408	1729
Cote d'Ivoire	Africa	1967	47.4	4744870	2052
Cote d'Ivoire	Africa	1972	49.8	6071696	2378
Cote d'Ivoire	Africa	1977	52.4	7459574	2518
Cote d'Ivoire	Africa	1982	54	9025951	2603
Cote d'Ivoire	Africa	1987	54.7	10761098	2157
Cote d'Ivoire	Africa	1992	52	12772596	1648
Cote d'Ivoire	Africa	1997	48	14625967	1786
Cote d'Ivoire	Africa	2002	46.8	16252726	1649
Cote d'Ivoire	Africa	2007	48.3	18013409	1545
Croatia	Europe	1952	61.2	3882229	3119
Croatia	Europe	1957	64.8	3991242	4338
Croatia	Europe	1962	67.1	4076557	5478
Croatia	Europe	1967	68.5	4174366	6960
Croatia	Europe	1972	69.6	4225310	9164
Croatia	Europe	1977	70.6	4318673	11305
Croatia	Europe	1982	70.5	4413368	13222
Croatia	Europe	1987	71.5	4484310	13823
Croatia	Europe	1992	72.5	4494013	8448
Croatia	Europe	1997	73.7	4444595	9876
Croatia	Europe	2002	74.9	4481020	11628
Croatia	Europe	2007	75.7	4493312	14619
Cuba	Americas	1952	59.4	6007797	5587
Cuba	Americas	1957	62.3	6640752	6092
Cuba	Americas	1962	65.2	7254373	5181
Cuba	Americas	1967	68.3	8139332	5690
Cuba	Americas	1972	70.7	8831348	5305
Cuba	Americas	1977	72.6	9537988	6380
Cuba	Americas	1982	73.7	9789224	7317
Cuba	Americas	1987	74.2	10239839	7533
Cuba	Americas	1992	74.4	10723260	5593
Cuba	Americas	1997	76.2	10983007	5432
Cuba	Americas	2002	77.2	11226999	6341
Cuba	Americas	2007	78.3	11416987	8948
Czech Republic	Europe	1952	66.9	9125183	6876
Czech Republic	Europe	1957	69	9513758	8256
Czech Republic	Europe	1962	69.9	9620282	10137
Czech Republic	Europe	1967	70.4	9835109	11399
Czech Republic	Europe	1972	70.3	9862158	13108
Czech Republic	Europe	1977	70.7	10161915	14800
Czech Republic	Europe	1982	71	10303704	15377
Czech Republic	Europe	1987	71.6	10311597	16310
Czech Republic	Europe	1992	72.4	10315702	14297
Czech Republic	Europe	1997	74	10300707	16049
Czech Republic	Europe	2002	75.5	10256295	17596
Czech Republic	Europe	2007	76.5	10228744	22833
Denmark	Europe	1952	70.8	4334000	9692
Denmark	Europe	1957	71.8	4487831	11100
Denmark	Europe	1962	72.4	4646899	13583
Denmark	Europe	1967	73	4838800	15937
Denmark	Europe	1972	73.5	4991596	18866
Denmark	Europe	1977	74.7	5088419	20423
Denmark	Europe	1982	74.6	5117810	21688
Denmark	Europe	1987	74.8	5127024	25116
Denmark	Europe	1992	75.3	5171393	26407
Denmark	Europe	1997	76.1	5283663	29804
Denmark	Europe	2002	77.2	5374693	32167
Denmark	Europe	2007	78.3	5468120	35278
Djibouti	Africa	1952	34.8	63149	2670
Djibouti	Africa	1957	37.3	71851	2865
Djibouti	Africa	1962	39.7	89898	3021
Djibouti	Africa	1967	42.1	127617	3020
Djibouti	Africa	1972	44.4	178848	3694
Djibouti	Africa	1977	46.5	228694	3082
Djibouti	Africa	1982	48.8	305991	2879
Djibouti	Africa	1987	50	311025	2880
Djibouti	Africa	1992	51.6	384156	2377
Djibouti	Africa	1997	53.2	417908	1895
Djibouti	Africa	2002	53.4	447416	1908
Djibouti	Africa	2007	54.8	496374	2082
Dominican Republic	Americas	1952	45.9	2491346	1398
Dominican Republic	Americas	1957	49.8	2923186	1544
Dominican Republic	Americas	1962	53.5	3453434	1662
Dominican Republic	Americas	1967	56.8	4049146	1654
Dominican Republic	Americas	1972	59.6	4671329	2190
Dominican Republic	Americas	1977	61.8	5302800	2682
Dominican Republic	Americas	1982	63.7	5968349	2861
Dominican Republic	Americas	1987	66	6655297	2900
Dominican Republic	Americas	1992	68.5	7351181	3044
Dominican Republic	Americas	1997	70	7992357	3614
Dominican Republic	Americas	2002	70.8	8650322	4564
Dominican Republic	Americas	2007	72.2	9319622	6025
Ecuador	Americas	1952	48.4	3548753	3522
Ecuador	Americas	1957	51.4	4058385	3781
Ecuador	Americas	1962	54.6	4681707	4086
Ecuador	Americas	1967	56.7	5432424	4579
Ecuador	Americas	1972	58.8	6298651	5281
Ecuador	Americas	1977	61.3	7278866	6680
Ecuador	Americas	1982	64.3	8365850	7214
Ecuador	Americas	1987	67.2	9545158	6482
Ecuador	Americas	1992	69.6	10748394	7104
Ecuador	Americas	1997	72.3	11911819	7429
Ecuador	Americas	2002	74.2	12921234	5773
Ecuador	Americas	2007	75	13755680	6873
Egypt	Africa	1952	41.9	22223309	1419
Egypt	Africa	1957	44.4	25009741	1459
Egypt	Africa	1962	47	28173309	1693
Egypt	Africa	1967	49.3	31681188	1815
Egypt	Africa	1972	51.1	34807417	2024
Egypt	Africa	1977	53.3	38783863	2785
Egypt	Africa	1982	56	45681811	3504
Egypt	Africa	1987	59.8	52799062	3885
Egypt	Africa	1992	63.7	59402198	3795
Egypt	Africa	1997	67.2	66134291	4173
Egypt	Africa	2002	69.8	73312559	4755
Egypt	Africa	2007	71.3	80264543	5581
El Salvador	Americas	1952	45.3	2042865	3048
El Salvador	Americas	1957	48.6	2355805	3422
El Salvador	Americas	1962	52.3	2747687	3777
El Salvador	Americas	1967	55.9	3232927	4359
El Salvador	Americas	1972	58.2	3790903	4520
El Salvador	Americas	1977	56.7	4282586	5139
El Salvador	Americas	1982	56.6	4474873	4098
El Salvador	Americas	1987	63.2	4842194	4140
El Salvador	Americas	1992	66.8	5274649	4444
El Salvador	Americas	1997	69.5	5783439	5155
El Salvador	Americas	2002	70.7	6353681	5352
El Salvador	Americas	2007	71.9	6939688	5728
Equatorial Guinea	Africa	1952	34.5	216964	376
Equatorial Guinea	Africa	1957	36	232922	426
Equatorial Guinea	Africa	1962	37.5	249220	583
Equatorial Guinea	Africa	1967	39	259864	916
Equatorial Guinea	Africa	1972	40.5	277603	672
Equatorial Guinea	Africa	1977	42	192675	959
Equatorial Guinea	Africa	1982	43.7	285483	928
Equatorial Guinea	Africa	1987	45.7	341244	967
Equatorial Guinea	Africa	1992	47.5	387838	1132
Equatorial Guinea	Africa	1997	48.2	439971	2814
Equatorial Guinea	Africa	2002	49.3	495627	7703
Equatorial Guinea	Africa	2007	51.6	551201	12154
Eritrea	Africa	1952	35.9	1438760	329
Eritrea	Africa	1957	38	1542611	344
Eritrea	Africa	1962	40.2	1666618	381
Eritrea	Africa	1967	42.2	1820319	469
Eritrea	Africa	1972	44.1	2260187	514
Eritrea	Africa	1977	44.5	2512642	506
Eritrea	Africa	1982	43.9	2637297	525
Eritrea	Africa	1987	46.5	2915959	521
Eritrea	Africa	1992	50	3668440	583
Eritrea	Africa	1997	53.4	4058319	913
Eritrea	Africa	2002	55.2	4414865	765
Eritrea	Africa	2007	58	4906585	641
Ethiopia	Africa	1952	34.1	20860941	362
Ethiopia	Africa	1957	36.7	22815614	379
Ethiopia	Africa	1962	40.1	25145372	419
Ethiopia	Africa	1967	42.1	27860297	516
Ethiopia	Africa	1972	43.5	30770372	566
Ethiopia	Africa	1977	44.5	34617799	557
Ethiopia	Africa	1982	44.9	38111756	578
Ethiopia	Africa	1987	46.7	42999530	574
Ethiopia	Africa	1992	48.1	52088559	421
Ethiopia	Africa	1997	49.4	59861301	516
Ethiopia	Africa	2002	50.7	67946797	530
Ethiopia	Africa	2007	52.9	76511887	691
Finland	Europe	1952	66.6	4090500	6425
Finland	Europe	1957	67.5	4324000	7545
Finland	Europe	1962	68.8	4491443	9372
Finland	Europe	1967	69.8	4605744	10922
Finland	Europe	1972	70.9	4639657	14359
Finland	Europe	1977	72.5	4738902	15605
Finland	Europe	1982	74.6	4826933	18533
Finland	Europe	1987	74.8	4931729	21141
Finland	Europe	1992	75.7	5041039	20647
Finland	Europe	1997	77.1	5134406	23724
Finland	Europe	2002	78.4	5193039	28205
Finland	Europe	2007	79.3	5238460	33207
France	Europe	1952	67.4	42459667	7030
France	Europe	1957	68.9	44310863	8663
France	Europe	1962	70.5	47124000	10560
France	Europe	1967	71.6	49569000	13000
France	Europe	1972	72.4	51732000	16107
France	Europe	1977	73.8	53165019	18293
France	Europe	1982	74.9	54433565	20294
France	Europe	1987	76.3	55630100	22066
France	Europe	1992	77.5	57374179	24704
France	Europe	1997	78.6	58623428	25890
France	Europe	2002	79.6	59925035	28926
France	Europe	2007	80.7	61083916	30470
Gabon	Africa	1952	37	420702	4293
Gabon	Africa	1957	39	434904	4976
Gabon	Africa	1962	40.5	455661	6631
Gabon	Africa	1967	44.6	489004	8359
Gabon	Africa	1972	48.7	537977	11402
Gabon	Africa	1977	52.8	706367	21746
Gabon	Africa	1982	56.6	753874	15113
Gabon	Africa	1987	60.2	880397	11864
Gabon	Africa	1992	61.4	985739	13522
Gabon	Africa	1997	60.5	1126189	14723
Gabon	Africa	2002	56.8	1299304	12522
Gabon	Africa	2007	56.7	1454867	13206
Gambia	Africa	1952	30	284320	485
Gambia	Africa	1957	32.1	323150	521
Gambia	Africa	1962	33.9	374020	600
Gambia	Africa	1967	35.9	439593	735
Gambia	Africa	1972	38.3	517101	756
Gambia	Africa	1977	41.8	608274	885
Gambia	Africa	1982	45.6	715523	836
Gambia	Africa	1987	49.3	848406	612
Gambia	Africa	1992	52.6	1025384	666
Gambia	Africa	1997	55.9	1235767	654
Gambia	Africa	2002	58	1457766	661
Gambia	Africa	2007	59.4	1688359	753
Germany	Europe	1952	67.5	69145952	7144
Germany	Europe	1957	69.1	71019069	10188
Germany	Europe	1962	70.3	73739117	12902
Germany	Europe	1967	70.8	76368453	14746
Germany	Europe	1972	71	78717088	18016
Germany	Europe	1977	72.5	78160773	20513
Germany	Europe	1982	73.8	78335266	22032
Germany	Europe	1987	74.8	77718298	24639
Germany	Europe	1992	76.1	80597764	26505
Germany	Europe	1997	77.3	82011073	27789
Germany	Europe	2002	78.7	82350671	30036
Germany	Europe	2007	79.4	82400996	32170
Ghana	Africa	1952	43.1	5581001	911
Ghana	Africa	1957	44.8	6391288	1044
Ghana	Africa	1962	46.5	7355248	1190
Ghana	Africa	1967	48.1	8490213	1126
Ghana	Africa	1972	49.9	9354120	1178
Ghana	Africa	1977	51.8	10538093	993
Ghana	Africa	1982	53.7	11400338	876
Ghana	Africa	1987	55.7	14168101	847
Ghana	Africa	1992	57.5	16278738	925
Ghana	Africa	1997	58.6	18418288	1005
Ghana	Africa	2002	58.5	20550751	1112
Ghana	Africa	2007	60	22873338	1328
Greece	Europe	1952	65.9	7733250	3531
Greece	Europe	1957	67.9	8096218	4916
Greece	Europe	1962	69.5	8448233	6017
Greece	Europe	1967	71	8716441	8513
Greece	Europe	1972	72.3	8888628	12725
Greece	Europe	1977	73.7	9308479	14196
Greece	Europe	1982	75.2	9786480	15268
Greece	Europe	1987	76.7	9974490	16121
Greece	Europe	1992	77	10325429	17541
Greece	Europe	1997	77.9	10502372	18748
