Ozone,Solar.R,Wind,Temp,Month,Day,Date
22,71,10.3,77,8,16,8/16/1973
59,51,6.3,79,8,17,8/17/1973
23,115,7.4,76,8,18,8/18/1973
31,244,10.9,78,8,19,8/19/1973
44,190,10.3,78,8,20,8/20/1973
21,259,15.5,77,8,21,8/21/1973
9,36,14.3,72,8,22,8/22/1973
NA,255,12.6,75,8,23,8/23/1973
45,212,9.7,79,8,24,8/24/1973
168,238,3.4,81,8,25,8/25/1973
73,215,8,86,8,26,8/26/1973
NA,153,5.7,88,8,27,8/27/1973
76,203,9.7,97,8,28,8/28/1973
118,225,2.3,94,8,29,8/29/1973
84,237,6.3,96,8,30,8/30/1973
85,188,6.3,94,8,31,8/31/1973
96,167,6.9,91,9,1,9/1/1973
78,197,5.1,92,9,2,9/2/1973
73,183,2.8,93,9,3,9/3/1973
91,189,4.6,93,9,4,9/4/1973
47,95,7.4,87,9,5,9/5/1973
32,92,15.5,84,9,6,9/6/1973
20,252,10.9,80,9,7,9/7/1973
23,220,10.3,78,9,8,9/8/1973
21,230,10.9,75,9,9,9/9/1973
24,259,9.7,73,9,10,9/10/1973
44,236,14.9,81,9,11,9/11/1973
21,259,15.5,76,9,12,9/12/1973
28,238,6.3,77,9,13,9/13/1973
9,24,10.9,71,9,14,9/14/1973
13,112,11.5,71,9,15,9/15/1973
46,237,6.9,78,9,16,9/16/1973
18,224,13.8,67,9,17,9/17/1973
13,27,10.3,76,9,18,9/18/1973
24,238,10.3,68,9,19,9/19/1973
16,201,8,82,9,20,9/20/1973
13,238,12.6,64,9,21,9/21/1973
23,14,9.2,71,9,22,9/22/1973
36,139,10.3,81,9,23,9/23/1973
7,49,10.3,69,9,24,9/24/1973
14,20,16.6,63,9,25,9/25/1973
30,193,6.9,70,9,26,9/26/1973
NA,145,13.2,77,9,27,9/27/1973
14,191,14.3,75,9,28,9/28/1973
18,131,8,76,9,29,9/29/1973
20,223,11.5,68,9,30,9/30/1973
