ride_id,date,duration_min,station_A_id,station_A_name,station_B_id
66236,4/30/2017,9.23,58,Market St at 10…,36
35584,4/6/2017,6.67,30,San Francisco C…,89
72253,4/11/2017,10,67,San Francisco C…,61
91866,4/8/2017,3.17,5,Powell St BART …,3
44852,4/22/2017,7.82,15,San Francisco F…,50
15858,4/22/2017,17,16,Steuart St at M…,85
30270,4/7/2017,11.5,16,Steuart St at M…,30
31740,4/16/2017,31,15,San Francisco F…,400
26798,4/17/2017,6.45,58,Market St at 10…,98
31323,4/22/2017,18.5,30,San Francisco C…,6
18061,4/18/2017,11.3,58,Market St at 10…,91
94356,4/17/2017,7.77,81,Berry St at 4th…,16
12845,4/2/2017,17.9,6,The Embarcadero…,47
60861,4/4/2017,11.6,5,Powell St BART …,85
30613,4/13/2017,1.68,16,Steuart St at M…,17
83303,4/5/2017,13.8,16,Steuart St at M…,54
94863,4/22/2017,12.3,67,San Francisco C…,15
21674,4/19/2017,13.4,3,Powell St BART …,76
66670,4/25/2017,7.23,16,Steuart St at M…,50
91708,4/20/2017,9.48,30,San Francisco C…,99
40653,4/22/2017,6.8,15,San Francisco F…,6
66471,4/25/2017,13,5,Powell St BART …,92
17165,4/14/2017,14.3,5,Powell St BART …,109
79675,4/25/2017,7.95,3,Powell St BART …,26
89378,4/23/2017,19.5,67,San Francisco C…,369
75112,4/3/2017,25.6,15,San Francisco F…,114
35816,4/8/2017,18,16,Steuart St at M…,50
72071,4/16/2017,9.68,67,San Francisco C…,87
81714,4/30/2017,9.53,16,Steuart St at M…,5
80444,4/12/2017,12.2,5,Powell St BART …,90
86488,4/25/2017,3.5,67,San Francisco C…,90
82766,4/14/2017,9.85,15,San Francisco F…,50
63609,4/30/2017,14.6,67,San Francisco C…,97
25356,4/3/2017,10.2,30,San Francisco C…,4
68319,4/14/2017,10.3,81,Berry St at 4th…,22
91339,4/29/2017,13.4,58,Market St at 10…,114
78654,4/7/2017,10.2,67,San Francisco C…,78
87433,4/3/2017,12.2,81,Berry St at 4th…,3
64298,4/23/2017,13.1,81,Berry St at 4th…,355
45750,4/22/2017,6.17,5,Powell St BART …,61
55056,4/26/2017,14.2,67,San Francisco C…,97
91565,4/15/2017,8.28,81,Berry St at 4th…,126
66592,4/21/2017,9.65,15,San Francisco F…,50
93563,4/5/2017,8.37,30,San Francisco C…,5
96238,4/8/2017,4.95,5,Powell St BART …,43
87053,4/19/2017,6.58,67,San Francisco C…,343
95251,4/10/2017,17.3,15,San Francisco F…,91
91430,4/18/2017,4.67,67,San Francisco C…,63
86495,4/10/2017,6.12,67,San Francisco C…,28
34192,4/12/2017,5.45,5,Powell St BART …,44
25701,4/2/2017,19.5,67,San Francisco C…,371
37657,4/10/2017,21.2,5,Powell St BART …,70
30987,4/22/2017,4.8,67,San Francisco C…,364
55774,4/12/2017,9.98,16,Steuart St at M…,50
53575,4/20/2017,9.62,67,San Francisco C…,130
31567,4/14/2017,15.4,58,Market St at 10…,91
60133,4/17/2017,14.8,67,San Francisco C…,122
77371,4/30/2017,9.15,67,San Francisco C…,27
69160,4/14/2017,52.7,15,San Francisco F…,400
68610,4/22/2017,14.5,67,San Francisco C…,96
50773,4/3/2017,7.53,21,Montgomery St B…,50
87341,4/8/2017,9.77,81,Berry St at 4th…,355
79897,4/14/2017,8.43,3,Powell St BART …,58
72922,4/19/2017,9.72,21,Montgomery St B…,30
25338,4/30/2017,20.8,6,The Embarcadero…,91
19317,4/15/2017,5.27,16,Steuart St at M…,28
25223,4/24/2017,4.42,5,Powell St BART …,19
38347,4/17/2017,10.4,15,San Francisco F…,50
82686,4/23/2017,9.83,6,The Embarcadero…,23
74141,4/11/2017,7.9,6,The Embarcadero…,371
79959,4/7/2017,5.58,5,Powell St BART …,62
13792,4/29/2017,10.8,67,San Francisco C…,25
35035,4/15/2017,6.25,58,Market St at 10…,62
24570,4/23/2017,6.35,58,Market St at 10…,86
84198,4/26/2017,11,6,The Embarcadero…,22
75218,4/6/2017,9.87,67,San Francisco C…,336
86876,4/14/2017,5.18,67,San Francisco C…,90
96249,4/7/2017,11.8,5,Powell St BART …,26
58467,4/27/2017,9.03,5,Powell St BART …,67
78450,4/10/2017,55.2,15,San Francisco F…,15
98025,4/5/2017,7.37,5,Powell St BART …,20
94566,4/6/2017,31.2,30,San Francisco C…,132
70353,4/16/2017,7.4,6,The Embarcadero…,15
15594,4/24/2017,5.57,67,San Francisco C…,89
73209,4/21/2017,3.38,5,Powell St BART …,3
13832,4/23/2017,5.45,5,Powell St BART …,58
89595,4/11/2017,16.2,67,San Francisco C…,75
25405,4/4/2017,5.13,67,San Francisco C…,89
79773,4/12/2017,3.2,67,San Francisco C…,90
70828,4/14/2017,16.3,5,Powell St BART …,365
56534,4/28/2017,10.9,5,Powell St BART …,411
28183,4/29/2017,25.3,16,Steuart St at M…,109
56613,4/19/2017,15.2,67,San Francisco C…,110
23632,4/25/2017,12.2,58,Market St at 10…,93
68468,4/7/2017,13.8,5,Powell St BART …,126
25377,4/22/2017,3.62,21,Montgomery St B…,22
95709,4/26/2017,22.8,21,Montgomery St B…,53
18891,4/9/2017,11.6,3,Powell St BART …,350
60787,4/7/2017,10.1,5,Powell St BART …,350
23663,4/2/2017,18,3,Powell St BART …,134
86479,4/16/2017,12.8,67,San Francisco C…,61
20056,4/13/2017,20.5,30,San Francisco C…,371
17108,4/19/2017,11.9,5,Powell St BART …,50
80788,4/24/2017,10.6,3,Powell St BART …,50
76103,4/20/2017,6.15,67,San Francisco C…,350
20975,4/15/2017,3.83,67,San Francisco C…,90
16103,4/7/2017,10.8,67,San Francisco C…,5
12826,4/4/2017,16.8,67,San Francisco C…,105
11822,4/1/2017,19.4,67,San Francisco C…,133
56048,4/8/2017,4.02,67,San Francisco C…,90
84131,4/30/2017,13.1,67,San Francisco C…,110
76647,4/30/2017,20,5,Powell St BART …,95
81674,4/20/2017,16.8,67,San Francisco C…,6
55486,4/25/2017,13.4,67,San Francisco C…,411
81399,4/16/2017,6.42,3,Powell St BART …,30
31228,4/24/2017,11.1,81,Berry St at 4th…,15
51967,4/22/2017,6.23,67,San Francisco C…,62
62019,4/11/2017,16.5,58,Market St at 10…,355
79236,4/16/2017,7.82,81,Berry St at 4th…,345
73574,4/20/2017,6.7,81,Berry St at 4th…,92
30750,4/8/2017,9.77,67,San Francisco C…,5
96189,4/3/2017,7.78,58,Market St at 10…,90
75085,4/29/2017,13.5,58,Market St at 10…,91
64608,4/4/2017,8.07,81,Berry St at 4th…,16
40183,4/20/2017,12.1,30,San Francisco C…,26
59778,4/12/2017,8.58,30,San Francisco C…,27
51686,4/22/2017,3.82,58,Market St at 10…,60
46841,4/17/2017,5.82,58,Market St at 10…,62
30967,4/10/2017,9.97,30,San Francisco C…,64
38073,4/27/2017,14,5,Powell St BART …,55
70845,4/20/2017,12.4,5,Powell St BART …,109
52112,4/11/2017,24.6,67,San Francisco C…,52
52343,4/25/2017,9.13,15,San Francisco F…,6
95866,4/23/2017,12.3,21,Montgomery St B…,81
18932,4/8/2017,21.2,67,San Francisco C…,144
69043,4/14/2017,7.35,3,Powell St BART …,58
70320,4/21/2017,13.2,67,San Francisco C…,126
95148,4/13/2017,14.4,67,San Francisco C…,97
69961,4/2/2017,8.75,67,San Francisco C…,22
46728,4/11/2017,15.1,3,Powell St BART …,129
76161,4/13/2017,20.8,15,San Francisco F…,126
55481,4/14/2017,6.37,21,Montgomery St B…,50
10015,4/6/2017,11.5,58,Market St at 10…,67
85511,4/25/2017,19.4,3,Powell St BART …,106
19189,4/8/2017,7.42,58,Market St at 10…,3
99436,4/12/2017,17.9,67,San Francisco C…,365
54266,4/26/2017,11,15,San Francisco F…,5
77124,4/4/2017,13.6,16,Steuart St at M…,66
93116,4/13/2017,5.65,30,San Francisco C…,90
18986,4/29/2017,10.5,58,Market St at 10…,114
93229,4/14/2017,6.83,58,Market St at 10…,3
57344,4/21/2017,7.28,21,Montgomery St B…,343
30549,4/16/2017,38.8,81,Berry St at 4th…,138
36407,4/23/2017,21.6,15,San Francisco F…,371
15026,4/29/2017,31.1,21,Montgomery St B…,139
41672,4/1/2017,3.35,5,Powell St BART …,321
81824,4/8/2017,8.25,3,Powell St BART …,24
74344,4/8/2017,17.3,30,San Francisco C…,133
74071,4/10/2017,9.95,3,Powell St BART …,67
50925,4/25/2017,22,15,San Francisco F…,86
13708,4/8/2017,10.4,15,San Francisco F…,67
41767,4/18/2017,7.82,5,Powell St BART …,60
52390,4/29/2017,5.78,6,The Embarcadero…,16
92261,4/21/2017,14.3,67,San Francisco C…,78
10559,4/9/2017,2.08,58,Market St at 10…,75
43537,4/7/2017,6.73,81,Berry St at 4th…,90
52652,4/7/2017,14.9,3,Powell St BART …,22
45062,4/26/2017,12,21,Montgomery St B…,58
52807,4/29/2017,15,67,San Francisco C…,109
48133,4/28/2017,17.7,15,San Francisco F…,67
13134,4/10/2017,8.38,5,Powell St BART …,17
18715,4/24/2017,11.2,15,San Francisco F…,66
99554,4/22/2017,15.6,3,Powell St BART …,112
83221,4/23/2017,7.58,3,Powell St BART …,67
91959,4/26/2017,19.7,21,Montgomery St B…,86
71766,4/11/2017,21.7,3,Powell St BART …,115
57211,4/1/2017,23.1,67,San Francisco C…,411
18050,4/25/2017,9.33,30,San Francisco C…,78
55583,4/29/2017,12.3,67,San Francisco C…,76
55360,4/29/2017,8.02,30,San Francisco C…,88
65344,4/19/2017,22.2,16,Steuart St at M…,112
12233,4/10/2017,16.3,67,San Francisco C…,356
33814,4/21/2017,19.2,6,The Embarcadero…,67
97706,4/22/2017,9.08,3,Powell St BART …,67
55405,4/13/2017,13.8,21,Montgomery St B…,50
22150,4/11/2017,17.8,3,Powell St BART …,73
69729,4/11/2017,4.98,58,Market St at 10…,74
30137,4/25/2017,6.98,3,Powell St BART …,58
62814,4/20/2017,16.7,81,Berry St at 4th…,61
77005,4/26/2017,13.1,58,Market St at 10…,50
64361,4/7/2017,19.1,81,Berry St at 4th…,61
79235,4/25/2017,9.18,16,Steuart St at M…,50
31356,4/23/2017,5.57,5,Powell St BART …,21
66167,4/26/2017,66.7,30,San Francisco C…,119
13516,4/20/2017,16.5,81,Berry St at 4th…,61
42807,4/29/2017,4.57,67,San Francisco C…,50
99285,4/24/2017,14.1,16,Steuart St at M…,67
69667,4/25/2017,6.82,30,San Francisco C…,345
73470,4/9/2017,4.78,67,San Francisco C…,350
54772,4/9/2017,18.5,58,Market St at 10…,141
61386,4/5/2017,35.5,81,Berry St at 4th…,400
81675,4/23/2017,12,15,San Francisco F…,81
41569,4/14/2017,15.8,67,San Francisco C…,373
44803,4/14/2017,5.22,6,The Embarcadero…,17
24541,4/6/2017,16.2,16,Steuart St at M…,30
22347,4/27/2017,9.4,3,Powell St BART …,50
72647,4/1/2017,16.1,15,San Francisco F…,30
67736,4/26/2017,14.7,16,Steuart St at M…,30
86624,4/10/2017,8.73,5,Powell St BART …,67
43803,4/17/2017,12,21,Montgomery St B…,6
78346,4/26/2017,14.8,21,Montgomery St B…,86
38915,4/17/2017,16.7,16,Steuart St at M…,79
84916,4/29/2017,8.48,6,The Embarcadero…,16
66301,4/26/2017,7.42,21,Montgomery St B…,5
78854,4/27/2017,19.3,67,San Francisco C…,107
76099,4/21/2017,16.5,67,San Francisco C…,97
45533,4/7/2017,17.4,21,Montgomery St B…,55
22012,4/28/2017,20.4,3,Powell St BART …,95
88511,4/21/2017,11.1,21,Montgomery St B…,50
41343,4/26/2017,6.65,16,Steuart St at M…,6
43764,4/9/2017,19.4,21,Montgomery St B…,98
42797,4/20/2017,14.6,30,San Francisco C…,110
52506,4/6/2017,19.8,21,Montgomery St B…,115
38668,4/18/2017,7.85,5,Powell St BART …,22
10710,4/30/2017,16.5,3,Powell St BART …,54
39000,4/29/2017,11.6,58,Market St at 10…,141
67078,4/17/2017,22.5,15,San Francisco F…,86
85091,4/5/2017,11.1,3,Powell St BART …,67
95419,4/25/2017,8.45,58,Market St at 10…,3
97045,4/20/2017,18,21,Montgomery St B…,90
93041,4/3/2017,5.4,5,Powell St BART …,67
82398,4/25/2017,15,21,Montgomery St B…,67
58270,4/14/2017,10.5,21,Montgomery St B…,67
33335,4/1/2017,6.83,3,Powell St BART …,67
27900,4/2/2017,4.58,58,Market St at 10…,368
96845,4/4/2017,10.8,67,San Francisco C…,62
40138,4/10/2017,27.4,15,San Francisco F…,399
15548,4/1/2017,24,21,Montgomery St B…,121
23313,4/5/2017,6.9,58,Market St at 10…,3
20570,4/21/2017,12.6,21,Montgomery St B…,74
49643,4/25/2017,4.63,21,Montgomery St B…,14
94584,4/8/2017,13.8,21,Montgomery St B…,364
82110,4/23/2017,16.4,67,San Francisco C…,74
33353,4/25/2017,9.62,21,Montgomery St B…,34
96287,4/21/2017,15.4,81,Berry St at 4th…,109
94942,4/13/2017,15.4,21,Montgomery St B…,364
15939,4/18/2017,8.63,58,Market St at 10…,67
77736,4/10/2017,7.05,5,Powell St BART …,42
97530,4/6/2017,11.9,16,Steuart St at M…,67
69035,4/7/2017,6.98,15,San Francisco F…,3
63647,4/29/2017,3.05,67,San Francisco C…,50
54648,4/9/2017,30.4,15,San Francisco F…,390
54820,4/16/2017,9.27,3,Powell St BART …,30
44481,4/17/2017,16.2,58,Market St at 10…,323
48437,4/21/2017,8.42,16,Steuart St at M…,50
84025,4/13/2017,8.9,15,San Francisco F…,27
71140,4/28/2017,7.13,5,Powell St BART …,67
60423,4/21/2017,6.82,30,San Francisco C…,93
92471,4/8/2017,6.68,21,Montgomery St B…,27
34714,4/21/2017,18.2,3,Powell St BART …,129
46080,4/7/2017,7.75,5,Powell St BART …,67
28463,4/20/2017,17.2,81,Berry St at 4th…,58
77069,4/18/2017,13,5,Powell St BART …,55
99331,4/29/2017,9.67,16,Steuart St at M…,67
51135,4/17/2017,10.8,21,Montgomery St B…,67
92790,4/1/2017,8.37,30,San Francisco C…,37
18038,4/2/2017,14.1,15,San Francisco F…,67
51515,4/17/2017,8.53,30,San Francisco C…,114
12213,4/2/2017,7.73,81,Berry St at 4th…,27
95316,4/13/2017,8.37,67,San Francisco C…,28
76549,4/24/2017,11.4,16,Steuart St at M…,67
53382,4/17/2017,3.9,21,Montgomery St B…,22
11029,4/3/2017,8.27,30,San Francisco C…,89
55451,4/18/2017,12.8,58,Market St at 10…,67
53565,4/2/2017,8,16,Steuart St at M…,50
63190,4/5/2017,7.37,67,San Francisco C…,62
23575,4/12/2017,20.9,81,Berry St at 4th…,121
86034,4/25/2017,7.65,67,San Francisco C…,26
71030,4/13/2017,3.68,58,Market St at 10…,41
57086,4/10/2017,12.2,67,San Francisco C…,23
43434,4/29/2017,16.8,58,Market St at 10…,126
53893,4/6/2017,8.18,5,Powell St BART …,67
67728,4/10/2017,9.72,21,Montgomery St B…,30
16529,4/10/2017,10.5,21,Montgomery St B…,420
33989,4/6/2017,9.63,3,Powell St BART …,30
12221,4/28/2017,8.1,58,Market St at 10…,285
35823,4/16/2017,12.2,67,San Francisco C…,124
35404,4/16/2017,8.75,81,Berry St at 4th…,27
96236,4/3/2017,4.25,6,The Embarcadero…,16
64802,4/4/2017,7.07,3,Powell St BART …,62
84929,4/27/2017,8.33,15,San Francisco F…,3
73148,4/27/2017,7.88,58,Market St at 10…,21
14045,4/3/2017,9.13,81,Berry St at 4th…,15
79094,4/29/2017,6.4,81,Berry St at 4th…,27
84567,4/23/2017,14.3,16,Steuart St at M…,58
98791,4/3/2017,9.1,5,Powell St BART …,67
28155,4/16/2017,8.03,15,San Francisco F…,323
34979,4/2/2017,9.02,15,San Francisco F…,343
43649,4/15/2017,9.47,30,San Francisco C…,60
42776,4/23/2017,14.2,3,Powell St BART …,126
39893,4/3/2017,20,6,The Embarcadero…,30
40545,4/9/2017,5.52,67,San Francisco C…,321
62210,4/29/2017,7.88,16,Steuart St at M…,10
86572,4/7/2017,10.4,3,Powell St BART …,77
83839,4/30/2017,5.6,16,Steuart St at M…,6
79650,4/30/2017,8.8,3,Powell St BART …,58
17920,4/9/2017,10.6,21,Montgomery St B…,67
10083,4/4/2017,11,81,Berry St at 4th…,5
72479,4/2/2017,28.8,30,San Francisco C…,399
22999,4/22/2017,11.4,81,Berry St at 4th…,15
95133,4/26/2017,10.6,30,San Francisco C…,15
79206,4/12/2017,13.4,15,San Francisco F…,323
15473,4/9/2017,9.38,81,Berry St at 4th…,21
88981,4/28/2017,12.1,81,Berry St at 4th…,223
67855,4/29/2017,22,6,The Embarcadero…,116
58702,4/29/2017,16.9,15,San Francisco F…,81
98722,4/11/2017,6.92,21,Montgomery St B…,50
54911,4/7/2017,10.9,58,Market St at 10…,285
43192,4/13/2017,13.2,16,Steuart St at M…,93
76819,4/5/2017,12.2,15,San Francisco F…,81
32472,4/11/2017,15.9,81,Berry St at 4th…,112
81313,4/1/2017,15.5,81,Berry St at 4th…,22
84737,4/19/2017,17.7,5,Powell St BART …,73
17822,4/12/2017,9.37,3,Powell St BART …,93
31210,4/2/2017,13.9,5,Powell St BART …,92
91773,4/21/2017,18.3,81,Berry St at 4th…,127
95404,4/17/2017,7.68,6,The Embarcadero…,22
41137,4/12/2017,7.67,58,Market St at 10…,67
48870,4/30/2017,5.87,21,Montgomery St B…,67
17427,4/3/2017,15.8,81,Berry St at 4th…,20
51087,4/30/2017,3.15,15,San Francisco F…,17
25758,4/25/2017,14.1,16,Steuart St at M…,67
39941,4/18/2017,12.5,81,Berry St at 4th…,61
85135,4/15/2017,77.2,3,Powell St BART …,52
56321,4/22/2017,6.15,21,Montgomery St B…,36
33210,4/3/2017,12.4,21,Montgomery St B…,67
46877,4/19/2017,9.98,3,Powell St BART …,11
87706,4/25/2017,12.7,67,San Francisco C…,27
94507,4/18/2017,14.2,6,The Embarcadero…,50
14620,4/17/2017,14.6,15,San Francisco F…,67
18864,4/6/2017,2.57,5,Powell St BART …,44
66125,4/10/2017,9.33,81,Berry St at 4th…,15
14718,4/8/2017,19.6,6,The Embarcadero…,67
16567,4/10/2017,9.43,81,Berry St at 4th…,89
94749,4/26/2017,4.85,5,Powell St BART …,36
20776,4/13/2017,6.07,81,Berry St at 4th…,67
85307,4/20/2017,9.1,81,Berry St at 4th…,126
30568,4/6/2017,10.9,67,San Francisco C…,130
34874,4/20/2017,16.6,21,Montgomery St B…,55
60594,4/29/2017,8.48,58,Market St at 10…,67
17042,4/20/2017,11.2,67,San Francisco C…,16
46124,4/30/2017,21.3,21,Montgomery St B…,324
22209,4/9/2017,8.73,81,Berry St at 4th…,22
43664,4/16/2017,21.1,21,Montgomery St B…,324
60887,4/8/2017,9.22,5,Powell St BART …,67
53255,4/7/2017,13,15,San Francisco F…,93
41182,4/10/2017,9.63,67,San Francisco C…,22
16287,4/17/2017,11.9,21,Montgomery St B…,67
70211,4/18/2017,11.4,21,Montgomery St B…,30
42837,4/8/2017,6.37,58,Market St at 10…,55
86925,4/19/2017,20.6,81,Berry St at 4th…,420
15651,4/10/2017,3.95,15,San Francisco F…,8
89153,4/23/2017,9.4,81,Berry St at 4th…,16
46221,4/11/2017,5.9,58,Market St at 10…,98
37894,4/17/2017,11.2,21,Montgomery St B…,67
92984,4/12/2017,7.48,6,The Embarcadero…,22
81491,4/2/2017,17.8,15,San Francisco F…,104
63521,4/19/2017,11,67,San Francisco C…,19
51889,4/13/2017,10.9,81,Berry St at 4th…,5
14801,4/13/2017,5.12,30,San Francisco C…,343
46295,4/30/2017,17.1,81,Berry St at 4th…,11
14819,4/19/2017,19.9,6,The Embarcadero…,67
78822,4/22/2017,13.2,81,Berry St at 4th…,16
39896,4/30/2017,4.53,81,Berry St at 4th…,104
62704,4/10/2017,10.3,58,Market St at 10…,67
16460,4/16/2017,11.7,58,Market St at 10…,116
60826,4/5/2017,12.2,58,Market St at 10…,15
82529,4/4/2017,11.5,81,Berry St at 4th…,5
51846,4/18/2017,5.68,6,The Embarcadero…,16
15238,4/1/2017,7.03,6,The Embarcadero…,16
32372,4/16/2017,17.4,58,Market St at 10…,364
12819,4/28/2017,16.5,21,Montgomery St B…,10
24476,4/17/2017,6.08,5,Powell St BART …,58
85482,4/12/2017,11.8,5,Powell St BART …,16
77314,4/21/2017,21.9,15,San Francisco F…,399
68206,4/28/2017,12.4,16,Steuart St at M…,81
17949,4/2/2017,12,67,San Francisco C…,15
67266,4/18/2017,7.83,67,San Francisco C…,104
78823,4/12/2017,7.38,6,The Embarcadero…,15
33561,4/15/2017,19.8,6,The Embarcadero…,5
43053,4/19/2017,12.5,16,Steuart St at M…,30
95067,4/21/2017,9.18,81,Berry St at 4th…,15
62161,4/6/2017,15.4,67,San Francisco C…,58
33457,4/16/2017,48.6,6,The Embarcadero…,323
75331,4/26/2017,10.8,81,Berry St at 4th…,16
24578,4/15/2017,10.6,67,San Francisco C…,22
40405,4/19/2017,3.98,58,Market St at 10…,5
96473,4/27/2017,6.3,67,San Francisco C…,89
34589,4/3/2017,8.8,81,Berry St at 4th…,27
25800,4/14/2017,13.2,16,Steuart St at M…,81
78937,4/1/2017,9.75,21,Montgomery St B…,370
55482,4/24/2017,11.8,58,Market St at 10…,67
97646,4/1/2017,16.1,58,Market St at 10…,3
29567,4/16/2017,7.45,3,Powell St BART …,16
15049,4/11/2017,9.42,81,Berry St at 4th…,3
72813,4/4/2017,7.53,3,Powell St BART …,62
72365,4/24/2017,13.9,81,Berry St at 4th…,21
88427,4/12/2017,13,16,Steuart St at M…,81
88291,4/13/2017,9.73,81,Berry St at 4th…,126
14229,4/10/2017,12.7,16,Steuart St at M…,420
26179,4/10/2017,13.8,67,San Francisco C…,223
35939,4/24/2017,8.37,81,Berry St at 4th…,16
49782,4/28/2017,14.3,21,Montgomery St B…,30
99720,4/7/2017,13.5,15,San Francisco F…,49
89034,4/18/2017,6.2,6,The Embarcadero…,16
86168,4/17/2017,6.08,6,The Embarcadero…,15
85545,4/20/2017,8.83,6,The Embarcadero…,16
93394,4/27/2017,15,15,San Francisco F…,30
41787,4/9/2017,5.48,58,Market St at 10…,97
82816,4/21/2017,11.2,16,Steuart St at M…,30
58844,4/11/2017,4.07,6,The Embarcadero…,15
18954,4/12/2017,15,16,Steuart St at M…,30
77038,4/8/2017,13.3,16,Steuart St at M…,30
79927,4/18/2017,15.4,16,Steuart St at M…,81
60237,4/5/2017,9.53,5,Powell St BART …,67
31076,4/29/2017,27.9,21,Montgomery St B…,134
82386,4/18/2017,7.72,5,Powell St BART …,15
83955,4/6/2017,3.17,21,Montgomery St B…,15
34229,4/10/2017,22.3,21,Montgomery St B…,96
75726,4/26/2017,15.8,21,Montgomery St B…,41
71620,4/9/2017,1.97,16,Steuart St at M…,23
55912,4/11/2017,9.03,3,Powell St BART …,11
90968,4/23/2017,4.42,16,Steuart St at M…,14
26538,4/6/2017,17.8,3,Powell St BART …,365
55042,4/12/2017,18,21,Montgomery St B…,114
76864,4/19/2017,22.2,16,Steuart St at M…,130
64548,4/27/2017,7.52,67,San Francisco C…,5
86199,4/24/2017,3.97,3,Powell St BART …,44
14216,4/27/2017,8.07,21,Montgomery St B…,23
42314,4/30/2017,11.7,58,Market St at 10…,64
76546,4/23/2017,27.1,81,Berry St at 4th…,3
34224,4/4/2017,7.72,81,Berry St at 4th…,27
67729,4/24/2017,11.3,67,San Francisco C…,90
86734,4/28/2017,11.4,67,San Francisco C…,90
18752,4/3/2017,3.03,21,Montgomery St B…,3
36782,4/14/2017,9.78,3,Powell St BART …,50
71252,4/8/2017,34.1,81,Berry St at 4th…,5
11111,4/6/2017,17.3,58,Market St at 10…,108
94590,4/4/2017,20.7,67,San Francisco C…,11
21955,4/23/2017,6.32,16,Steuart St at M…,28
51249,4/10/2017,6.68,16,Steuart St at M…,28
25165,4/16/2017,7.37,81,Berry St at 4th…,16
17626,4/27/2017,15,15,San Francisco F…,30
41735,4/24/2017,7.87,58,Market St at 10…,369
39568,4/30/2017,10.3,81,Berry St at 4th…,15
