"id"	"[,1]"	"[,2]"
"[105,]"	-5.66677341	1.421644272
"[106,]"	-4.89448619	1.001261344
"[107,]"	-5.42225588	1.99756722
"[108,]"	-5.12235017	2.655511883
"[109,]"	-4.81180697	3.476842279
"[110,]"	-4.88083904	0.090847212
"[111,]"	-5.02509255	1.297560527
"[112,]"	-4.89192727	1.688569782
"[113,]"	-5.48543524	0.336842969
"[114,]"	-5.50421713	1.249466558
"[115,]"	-6.66109908	1.222648241
"[116,]"	-5.38233373	1.2774303
"[117,]"	-5.51265026	-0.188834599
"[118,]"	-2.298109	2.21341855
"[119,]"	-6.36211623	1.368077064
"[120,]"	-4.86274378	3.520491194
"[121,]"	-6.49362507	2.795955949
"[122,]"	-6.47043574	0.546470435
"[123,]"	-4.87529761	2.098395421
"[124,]"	-5.99663913	1.406229016
"[125,]"	-5.00182261	2.888281169
"[126,]"	-5.42825888	2.053070415
"[127,]"	-5.61367161	1.442976374
"[128,]"	-7.02467785	2.438397036
"[129,]"	-6.22474795	2.152608159
"[130,]"	-4.82048356	1.835382418
"[131,]"	-4.43237941	4.019890621
"[132,]"	-5.49287735	1.470614114
"[133,]"	-4.99993712	1.529213027
"[134,]"	-3.87711036	0.454063076
"[135,]"	-3.56014426	1.959473277
"[136,]"	-6.09711377	2.890356305
"[137,]"	-5.11731956	-0.071387851
"[138,]"	-3.7985016	1.74993488
"[139,]"	-5.46972958	0.818349573
"[140,]"	-5.05246948	3.441937265
"[141,]"	-5.0861073	3.357895539
"[142,]"	-5.88767902	2.334502847
"[143,]"	-5.444684	3.42933808
"[144,]"	-5.02944488	1.132682149
"[145,]"	-5.41386885	2.950651725
"[146,]"	-3.88661398	1.414988491
"[147,]"	-5.48099284	2.320957523
"[148,]"	-5.43316903	1.700603983
"[149,]"	-4.30313742	1.721456917
"[150,]"	-6.05636841	2.546115158
"[151,]"	-5.04069848	0.696178846
"[152,]"	-6.55154482	1.749085535
"[153,]"	-3.83283045	2.171007374
"[154,]"	-5.2736457	1.596532521
"[155,]"	-5.46784532	2.104659441
"[156,]"	-6.23825233	1.681119213
"[157,]"	-5.00776203	3.618343936
"[158,]"	-5.80028218	2.714188601
"[159,]"	-5.53349233	4.96586537
"[160,]"	-3.71232475	1.204922395
"[161,]"	-5.17552587	2.814365915
"[162,]"	-6.07178238	4.09803081
"[163,]"	-4.83679312	2.300980055
"[164,]"	-5.36273842	0.916924858
"[165,]"	-4.40998645	0.993677498
"[166,]"	-3.56757807	1.964585435
"[167,]"	-5.99269251	3.309124361
"[168,]"	-4.5453497	2.750400487
"[169,]"	-4.91510194	-0.138368328
"[170,]"	-4.10443442	1.299645891
"[171,]"	-5.22977814	1.990943525
"[172,]"	-4.16338093	0.541866513
"[173,]"	-6.74505586	2.694529646
"[174,]"	-3.31054108	-0.461335475
"[175,]"	-4.13522202	2.143289764
"[176,]"	-5.15077599	1.608777881
"[177,]"	-6.44900713	1.508835914
"[178,]"	-4.3569913	1.716352548
"[179,]"	-4.51680614	2.314794805
"[180,]"	-5.00635563	2.396326578
"[181,]"	-4.84854411	1.774396289
"[182,]"	-5.58410897	0.07504957
"[183,]"	-4.63119327	0.560770702
"[184,]"	-4.70534566	0.530342226
"[185,]"	-5.27925937	2.761863447
"[186,]"	-6.33623665	1.756385018
"[187,]"	-4.29925118	2.269676607
"[188,]"	-4.44580338	0.441072479
"[189,]"	-5.83630659	1.464411993
"[190,]"	-6.59458816	2.562451973
"[191,]"	-4.79504142	1.821673877
"[192,]"	-5.34508798	1.884864014
"[193,]"	-4.7473883	1.927938528
"[194,]"	-6.29400247	3.210909807
"[195,]"	-5.95917044	1.385103099
"[196,]"	-3.91422515	2.676126458
"[197,]"	-4.5962251	2.898599606
"[198,]"	-4.41351246	0.810682096
"[199,]"	-3.18477155	2.12125885
"[200,]"	-4.87117857	1.988778314
"[201,]"	-7.00092924	3.029140719
"[202,]"	-4.6662228	2.914774868
"[203,]"	-3.82867487	1.997543733
"[204,]"	-2.94046076	2.136009552
"[205,]"	-6.3768616	1.279846455
"[206,]"	-6.15085557	1.80187567
"[207,]"	-5.70582139	0.970791194
"[208,]"	-6.05405578	1.033044104
"[209,]"	-5.64574372	0.779186911
"[210,]"	-5.18537797	2.836207704
"[211,]"	-6.20122205	3.114971798
"[212,]"	-2.96302783	1.587055147
"[213,]"	-4.89222526	0.871022602
"[214,]"	-5.0841081	1.912068668
"[215,]"	-4.50438036	4.241903693
"[216,]"	-4.96258481	4.041313171
"[217,]"	-5.13208804	0.280199663
"[218,]"	-3.52321258	1.643093344
"[219,]"	-5.21703021	3.533280492
"[220,]"	-6.2836022	1.961755903
"[221,]"	-4.61433211	3.597413242
"[222,]"	-5.35151287	1.666414607
"[223,]"	-5.52179609	2.604985924
"[224,]"	-6.0681312	2.224241239
"[225,]"	-4.5716341	5.229069495
"[226,]"	-5.17401823	2.920452567
"[227,]"	-4.48433227	0.793460931
"[228,]"	-5.23436528	1.396118831
"[229,]"	-5.65850343	2.370235285
"[230,]"	-3.7497634	0.098999353
"[231,]"	-5.27176372	0.195590055
"[232,]"	-4.052048	0.878177394
"[233,]"	-6.20158243	1.652070393
"[234,]"	-5.4661161	3.238902149
"[235,]"	-5.2693514	1.725802435
"[236,]"	-5.39096541	2.162380716
"[237,]"	-3.65129299	1.93539309
"[238,]"	-5.0227647	1.294762903
"[239,]"	-4.75577415	3.362197269
"[240,]"	-5.94237171	0.903486812
"[241,]"	-5.72921728	1.771566481
"[242,]"	-4.00193109	1.652171919
"[243,]"	-3.74151834	2.53212862
"[244,]"	-3.75113631	3.607234562
"[245,]"	-6.38063705	2.513814526
"[246,]"	-2.95003931	3.382373161
"[247,]"	-3.98312717	2.763097049
"[248,]"	-5.02671746	1.375415455
"[249,]"	-4.29639222	2.0815438
"[250,]"	-5.97138523	3.376079111
"[251,]"	-0.09615624	-1.561265786
"[252,]"	1.04905045	0.324770661
"[253,]"	-0.19849586	-0.156790317
"[254,]"	1.190019	0.877783861
"[255,]"	2.2977059	0.750166575
"[256,]"	-0.03387372	0.301053404
"[257,]"	0.26155925	1.492811117
"[258,]"	1.04656394	-1.5254938
"[259,]"	-0.01759612	0.910717558
"[260,]"	0.61671604	-1.579532028
"[261,]"	1.87275541	0.587716257
"[262,]"	1.96954501	0.089642296
"[263,]"	1.38384667	0.967261657
"[264,]"	-0.85155566	0.078812353
"[265,]"	0.94600326	-1.568699836
"[266,]"	2.06477321	-2.007823184
"[267,]"	1.81319504	0.540973524
"[268,]"	0.80918353	-0.073376598
"[269,]"	-1.69992981	-0.571018394
"[270,]"	1.06096664	-0.31106846
"[271,]"	1.5737517	-0.671415067
"[272,]"	1.04580358	-0.157340452
"[273,]"	1.15741254	-0.931305071
"[274,]"	1.43156537	-1.983009479
"[275,]"	0.60345026	-0.219599804
"[276,]"	2.30997823	1.045275869
"[277,]"	1.4703934	1.877329566
"[278,]"	-0.24267027	0.002606196
"[279,]"	2.38157546	-0.080669935
"[280,]"	2.20445894	0.962982281
"[281,]"	1.82407396	0.053571017
"[282,]"	-0.6626294	-0.434898409
"[283,]"	0.43069366	-1.737297255
"[284,]"	1.63551382	-1.2636956
"[285,]"	1.04372201	0.406308512
"[286,]"	1.3480123	-1.459653968
"[287,]"	3.45959355	1.04845737
"[288,]"	0.18161968	-1.346430539
"[289,]"	-1.11320011	-0.193570558
"[290,]"	1.27369527	-0.002335957
"[291,]"	0.31240316	-0.012829734
"[292,]"	1.44604105	0.151947322
"[293,]"	0.18761528	0.598511131
"[294,]"	3.21205548	-0.126212437
"[295,]"	0.87629403	-0.248535566
"[296,]"	0.52266449	0.160327395
"[297,]"	0.83373851	-0.433641942
"[298,]"	1.86256338	1.537412419
"[299,]"	1.09734049	-2.170246577
"[300,]"	-0.62561674	1.027004619
