freight_cost_group	line_item_insurance_usd
reasonable	92.62
reasonable	34.56
reasonable	1.05
expensive	195.92
reasonable	38.65
reasonable	0
expensive	335.46
expensive	854.33
expensive	25.01
expensive	111.55
reasonable	1366.48
expensive	182.77
reasonable	20.4
expensive	76.49
reasonable	320.93
expensive	431.21
reasonable	48.86
reasonable	49.54
reasonable	9.28
expensive	334.68
reasonable	41.16
reasonable	44.06
expensive	90.07
expensive	456.27
expensive	235.45
reasonable	275.1
reasonable	156.8
expensive	79.99
expensive	394.59
reasonable	470.99
reasonable	7.53
expensive	85.99
reasonable	3.8
expensive	952.88
expensive	112.98
expensive	672.96
reasonable	20.46
expensive	140.84
reasonable	230.5
expensive	150.96
expensive	333.46
reasonable	5.6
expensive	193.98
expensive	543.24
reasonable	14.61
reasonable	2.77
expensive	50.24
expensive	357.33
expensive	177.49
reasonable	167.77
reasonable	54.37
reasonable	5.07
expensive	343.73
reasonable	0.95
expensive	157.93
reasonable	44.95
reasonable	10.93
reasonable	1.4
reasonable	5.67
expensive	200.61
reasonable	381.25
reasonable	1
reasonable	6.2
expensive	361.35
expensive	1466.08
reasonable	12.5
expensive	569.18
expensive	546.68
expensive	162.82
expensive	205.8
expensive	620.71
expensive	0
reasonable	3.84
reasonable	6.38
reasonable	51.74
reasonable	206.09
expensive	332.1
expensive	422
expensive	561.12
reasonable	3.39
expensive	389.27
reasonable	38.92
expensive	95.75
expensive	399.29
expensive	38.44
reasonable	2.35
expensive	694.65
reasonable	0.01
expensive	277.55
expensive	834.97
reasonable	60.4
reasonable	3.51
reasonable	41.16
reasonable	73.35
reasonable	28.73
expensive	875.69
reasonable	26.15
expensive	105.6
reasonable	46.34
expensive	153.12
expensive	139.65
expensive	991.98
expensive	342.39
expensive	306.24
expensive	1160.86
reasonable	0.8
reasonable	4.03
expensive	315.4
reasonable	30.06
expensive	280.75
reasonable	69.29
expensive	1270.08
expensive	255.78
expensive	120.89
reasonable	11.35
expensive	148.38
expensive	257.53
expensive	232.17
reasonable	139.18
reasonable	12.43
reasonable	5.49
expensive	0.17
reasonable	133.01
reasonable	0.02
reasonable	0.05
reasonable	36.84
reasonable	164.33
expensive	443.88
expensive	316.67
reasonable	26.92
reasonable	62.6
expensive	151.14
reasonable	18.5
reasonable	134.02
expensive	104.68
expensive	192.82
reasonable	24.98
expensive	493.48
expensive	1029.6
reasonable	3.3
expensive	28.07
expensive	165.4
reasonable	2.06
expensive	300.05
expensive	1019.24
reasonable	27.52
expensive	13.23
reasonable	355.62
reasonable	7.94
expensive	117.1
expensive	81.61
expensive	679.25
expensive	7.51
expensive	96.36
expensive	125.48
reasonable	2.22
reasonable	38.3
expensive	29.84
expensive	245.59
expensive	898.44
expensive	216.72
reasonable	9.09
reasonable	144.62
expensive	76.61
reasonable	24.53
expensive	502.56
reasonable	5.85
expensive	67.56
expensive	39.84
reasonable	16.7
expensive	193.88
reasonable	26.93
reasonable	118.42
reasonable	2.16
reasonable	0.85
expensive	156.43
reasonable	0.71
reasonable	104.52
expensive	426.41
expensive	221.56
expensive	865.9
expensive	334.24
expensive	436.74
reasonable	58.95
expensive	569.18
reasonable	24.94
expensive	141.24
reasonable	14.76
expensive	1120
reasonable	19.34
expensive	277.69
expensive	333.69
expensive	710.32
reasonable	7.42
reasonable	0.3
expensive	325.99
reasonable	36.96
reasonable	12.51
reasonable	42.6
expensive	307.77
reasonable	1.06
expensive	0.05
expensive	1808.46
expensive	149.34
expensive	128.48
reasonable	2.94
reasonable	75.46
expensive	164.03
expensive	330
expensive	64.16
expensive	55.51
expensive	281.66
expensive	432
expensive	232.32
reasonable	20.58
reasonable	14.61
expensive	353.75
reasonable	8.47
expensive	20
expensive	3465.16
expensive	852.79
reasonable	11.71
expensive	307.77
expensive	186.52
reasonable	92.61
reasonable	92.72
reasonable	1.26
reasonable	6.01
reasonable	21.47
reasonable	12.99
expensive	897.28
expensive	271.07
expensive	25
expensive	425.59
reasonable	18.52
reasonable	7.51
expensive	487.83
reasonable	33
expensive	342.39
reasonable	273.96
expensive	517.28
reasonable	2.5
expensive	310.48
expensive	462.6
reasonable	5.07
reasonable	5.55
reasonable	11.04
expensive	288.57
expensive	283.91
reasonable	6.88
expensive	330
expensive	442.97
expensive	458.75
expensive	113.9
expensive	64.81
expensive	448
expensive	309.14
reasonable	1219.13
expensive	253.93
expensive	286.07
expensive	128.4
reasonable	4.08
reasonable	1.73
expensive	90.56
reasonable	258.35
reasonable	8
reasonable	36.48
reasonable	4.25
expensive	1223.41
reasonable	26.78
reasonable	40.53
expensive	416.54
expensive	82.86
reasonable	3.46
expensive	1074.65
reasonable	210.6
expensive	101.95
expensive	173.03
expensive	406.18
expensive	345.55
reasonable	42.05
expensive	0.19
expensive	359.72
reasonable	168.59
reasonable	53.79
reasonable	19.6
expensive	1697.85
expensive	11.19
expensive	824.89
reasonable	11.59
expensive	250.81
expensive	950.41
expensive	120.75
expensive	134.18
expensive	1.7
reasonable	0.96
expensive	286.4
reasonable	27.24
expensive	34.5
expensive	33.28
reasonable	0.02
expensive	1558.11
expensive	529.06
reasonable	50.91
reasonable	1.27
expensive	494.8
reasonable	5.6
expensive	20.8
reasonable	15.46
reasonable	347.97
reasonable	6.44
reasonable	5.49
reasonable	54.37
expensive	158.23
expensive	1192.46
expensive	178.13
expensive	432.95
reasonable	0.72
expensive	482.94
reasonable	52.62
reasonable	62.7
expensive	98.69
reasonable	34.02
reasonable	12.27
expensive	90.56
expensive	120.38
expensive	568.79
expensive	44.2
expensive	0.15
reasonable	52.87
reasonable	1.06
expensive	1058.34
expensive	337.32
expensive	30.07
reasonable	86.95
reasonable	1.8
reasonable	37.4
expensive	174.08
expensive	74.13
reasonable	41.13
reasonable	3.92
expensive	98.45
reasonable	24.99
expensive	369.01
reasonable	29.5
reasonable	3.94
reasonable	3.35
reasonable	55.08
expensive	57.19
reasonable	875.37
expensive	419.13
expensive	76.04
expensive	156.8
expensive	28.97
expensive	383.95
expensive	117.6
reasonable	8.69
expensive	494.8
expensive	520.2
reasonable	1.17
expensive	139.74
reasonable	1.2
reasonable	3.43
reasonable	38.27
expensive	370.06
reasonable	7.03
reasonable	2.03
expensive	404.72
reasonable	1.8
expensive	1016.82
reasonable	9.35
reasonable	47.87
expensive	223.87
expensive	4.6
expensive	383.53
expensive	215.6
expensive	267.93
reasonable	154.08
expensive	169.88
expensive	402.36
expensive	343.45
reasonable	18.56
expensive	106.54
reasonable	3.31
expensive	126.14
expensive	950.56
expensive	163.14
expensive	614.96
reasonable	16.75
reasonable	203.79
expensive	323.47
reasonable	8.53
expensive	110.76
expensive	162.77
reasonable	0.99
expensive	337.01
expensive	173.86
reasonable	1.14
reasonable	1.92
expensive	1456.08
reasonable	17.81
reasonable	5.62
expensive	120.34
expensive	471.2
expensive	23.6
reasonable	130.53
expensive	68.16
reasonable	194.24
reasonable	46.39
reasonable	93.43
reasonable	23.04
expensive	119.92
expensive	405.99
reasonable	16.9
expensive	447.18
expensive	44.88
reasonable	51.84
reasonable	59.28
reasonable	0.53
expensive	0.6
expensive	202.84
reasonable	99.67
expensive	2476.74
reasonable	37.03
reasonable	0.75
reasonable	34.1
expensive	10.82
expensive	370.05
reasonable	9.56
expensive	142.12
reasonable	0.05
expensive	578.21
expensive	1075.41
reasonable	4.03
reasonable	154.29
expensive	71.76
expensive	306.24
reasonable	11.75
expensive	44.76
reasonable	7.17
expensive	64.81
expensive	424.4
expensive	258.72
reasonable	6.51
expensive	84.67
reasonable	23.96
expensive	109.45
expensive	564.51
reasonable	655.68
expensive	395.27
expensive	75.34
reasonable	65.2
reasonable	37.05
reasonable	8.59
expensive	722.64
expensive	292.76
expensive	405.22
reasonable	325.12
reasonable	8.02
reasonable	2.31
expensive	528.22
reasonable	19.76
expensive	288.67
expensive	1846.98
expensive	42.34
expensive	29.5
reasonable	0.69
reasonable	46.32
expensive	718.86
reasonable	223.12
expensive	228.01
expensive	269.18
reasonable	7.49
reasonable	3.81
expensive	330
reasonable	5.6
reasonable	107.8
reasonable	5.17
expensive	1056.06
expensive	71.7
expensive	741.75
expensive	0.52
reasonable	22.56
reasonable	2.97
expensive	307.77
reasonable	16.47
expensive	702.24
reasonable	21.19
expensive	19.82
reasonable	3.46
reasonable	16.89
reasonable	90.92
reasonable	7.9
reasonable	11.75
reasonable	7.82
reasonable	9.87
reasonable	17.85
expensive	196.39
reasonable	0.31
reasonable	10.9
reasonable	164.64
expensive	454.14
reasonable	18.3
expensive	39.9
expensive	594.84
expensive	347.7
expensive	901.76
reasonable	11.52
expensive	338.32
expensive	306.24
reasonable	141.12
reasonable	27.64
expensive	91.62
reasonable	363.61
expensive	411.2
expensive	59.47
reasonable	26.95
reasonable	17.76
expensive	332.18
reasonable	313.29
expensive	281.54
expensive	342.39
reasonable	331.07
expensive	61.29
reasonable	9.88
expensive	99.03
reasonable	21.57
reasonable	6
reasonable	2.23
expensive	908.97
expensive	180.95
reasonable	181.24
expensive	300
expensive	4939.2
expensive	1021.93
expensive	848.58
expensive	505.82
expensive	1226.33
expensive	17.75
expensive	12.16
reasonable	20.26
reasonable	19.85
expensive	1547.22
reasonable	46.16
reasonable	111.33
expensive	28.94
reasonable	0.82
expensive	355
reasonable	12.47
expensive	357.09
reasonable	78.74
expensive	1152.23
expensive	232.4
reasonable	98.35
expensive	101.1
expensive	35.5
expensive	253.63
expensive	12.37
expensive	7.18
expensive	380.69
expensive	96.29
expensive	115.35
reasonable	0.54
reasonable	1.14
reasonable	7.99
expensive	289.75
expensive	494.8
expensive	610.45
reasonable	49.53
reasonable	100.08
expensive	448.8
expensive	30.18
reasonable	0.24
expensive	424.54
expensive	306.98
expensive	236.85
reasonable	58.39
reasonable	802.95
reasonable	8.35
reasonable	102.97
expensive	540.26
expensive	95.22
reasonable	12.34
expensive	513.39
expensive	330
reasonable	3.23
expensive	169.95
reasonable	34.5
reasonable	2.64
expensive	251.17
reasonable	587.41
reasonable	0.79
expensive	96.59
expensive	682.6
reasonable	12.34
reasonable	17.03
reasonable	3.63
expensive	168.86
expensive	222.66
expensive	471.14
reasonable	111.53
reasonable	19.23
expensive	496.74
reasonable	0.59
reasonable	65.38
reasonable	16.8
expensive	165.3
reasonable	209.04
reasonable	1.4
expensive	897.28
expensive	380.32
reasonable	0.78
expensive	161.44
reasonable	5.07
reasonable	22.58
expensive	949.12
reasonable	1.8
expensive	1131.15
reasonable	4.7
reasonable	47.11
reasonable	136.78
expensive	19.07
expensive	201.3
reasonable	5.7
reasonable	10.04
expensive	12.27
expensive	336.44
expensive	0.19
reasonable	209.04
expensive	1016.05
expensive	287.65
reasonable	63.83
expensive	761.61
expensive	961.54
expensive	1081.74
reasonable	14.49
expensive	42.21
reasonable	23.03
reasonable	0.99
reasonable	6.83
expensive	255.49
reasonable	102.19
reasonable	108.73
expensive	104.67
reasonable	5.15
expensive	371.85
reasonable	0.69
expensive	287.16
expensive	56.5
expensive	373.83
expensive	19.11
expensive	1030.47
expensive	958.33
expensive	352.21
reasonable	32.2
expensive	451.17
reasonable	18.68
reasonable	0.44
expensive	613.35
reasonable	0.31
reasonable	1.57
expensive	0.12
expensive	201.07
expensive	185.06
expensive	215.59
expensive	48.49
expensive	138.28
expensive	290.74
expensive	573.6
reasonable	46.61
reasonable	19.91
reasonable	20.58
expensive	362.47
reasonable	10.61
reasonable	63.5
expensive	133.23
reasonable	14.88
expensive	390.27
reasonable	194.65
reasonable	16.34
expensive	336.4
expensive	336.48
reasonable	72.55
reasonable	13.65
expensive	771.71
expensive	1202.01
reasonable	60.37
expensive	307.77
expensive	337.66
expensive	0
expensive	501.35
reasonable	1.52
reasonable	126.82
reasonable	105.24
reasonable	29.13
expensive	365.97
expensive	0.1
reasonable	7.14
reasonable	14.33
expensive	90.56
expensive	68.64
expensive	624.75
expensive	372.22
expensive	697.52
expensive	189.58
reasonable	30.25
reasonable	105.22
reasonable	25.83
reasonable	23.4
reasonable	1.85
reasonable	12.2
reasonable	28.96
reasonable	227.66
reasonable	17.99
reasonable	15.14
reasonable	109.76
reasonable	0.76
reasonable	75.31
expensive	77.07
reasonable	12.4
expensive	776.05
expensive	263.8
expensive	243.22
expensive	615.29
expensive	138.02
expensive	439.04
expensive	124.29
reasonable	19.16
reasonable	2.72
expensive	1674.57
expensive	368.35
expensive	970.15
reasonable	5
reasonable	1.78
expensive	144.54
expensive	0
reasonable	3.18
reasonable	17.95
reasonable	12.96
expensive	20.38
expensive	869.57
expensive	241.75
reasonable	0.97
