,year,sex,education,vocabulary,year_group
19740029,1974,Female,12,5,"[1974,1995]"
19901328,1990,Male,12,6,"[1974,1995]"
19760526,1976,Female,18,10,"[1974,1995]"
19820604,1982,Female,11,1,"[1974,1995]"
19981376,1998,Female,15,5,"(1995,2016]"
19940118,1994,Male,18,6,"[1974,1995]"
19982375,1998,Female,8,3,"(1995,2016]"
20120540,2012,Female,18,6,"(1995,2016]"
20161149,2016,Male,12,7,"(1995,2016]"
19981719,1998,Male,13,6,"(1995,2016]"
20101139,2010,Female,12,5,"(1995,2016]"
20140394,2014,Female,18,5,"(1995,2016]"
19781348,1978,Female,14,7,"[1974,1995]"
20061196,2006,Female,11,6,"(1995,2016]"
19941293,1994,Female,12,4,"[1974,1995]"
20061672,2006,Male,16,9,"(1995,2016]"
19871136,1987,Male,12,7,"[1974,1995]"
20062262,2006,Male,20,9,"(1995,2016]"
20080571,2008,Female,14,6,"(1995,2016]"
20120142,2012,Female,14,9,"(1995,2016]"
20101123,2010,Male,13,6,"(1995,2016]"
20120575,2012,Female,14,6,"(1995,2016]"
19880510,1988,Female,12,3,"[1974,1995]"
19960139,1996,Female,14,4,"(1995,2016]"
19840877,1984,Male,16,6,"[1974,1995]"
20121340,2012,Male,8,3,"(1995,2016]"
20000802,2000,Female,18,9,"(1995,2016]"
19911036,1991,Male,12,6,"[1974,1995]"
20101705,2010,Female,11,6,"(1995,2016]"
19740223,1974,Male,12,6,"[1974,1995]"
20100805,2010,Female,14,3,"(1995,2016]"
19910830,1991,Female,8,5,"[1974,1995]"
19961872,1996,Female,12,7,"(1995,2016]"
19941366,1994,Male,15,5,"[1974,1995]"
20160897,2016,Male,12,3,"(1995,2016]"
19780247,1978,Male,18,10,"[1974,1995]"
19940017,1994,Female,18,3,"[1974,1995]"
20101943,2010,Female,12,6,"(1995,2016]"
19840561,1984,Female,13,8,"[1974,1995]"
20141815,2014,Female,13,6,"(1995,2016]"
19982172,1998,Female,15,6,"(1995,2016]"
19823074,1982,Female,12,7,"[1974,1995]"
19841219,1984,Female,12,8,"[1974,1995]"
20062249,2006,Male,14,5,"(1995,2016]"
20041271,2004,Male,12,6,"(1995,2016]"
19982110,1998,Male,12,7,"(1995,2016]"
19962824,1996,Male,17,6,"(1995,2016]"
19940769,1994,Female,16,10,"[1974,1995]"
19741129,1974,Female,13,8,"[1974,1995]"
19980099,1998,Female,16,8,"(1995,2016]"
19901368,1990,Female,12,0,"[1974,1995]"
19741247,1974,Female,13,6,"[1974,1995]"
19781277,1978,Female,15,8,"[1974,1995]"
19871045,1987,Male,17,6,"[1974,1995]"
19961696,1996,Female,12,5,"(1995,2016]"
19940691,1994,Female,8,2,"[1974,1995]"
19840510,1984,Female,11,2,"[1974,1995]"
19962392,1996,Female,15,8,"(1995,2016]"
20161339,2016,Female,10,5,"(1995,2016]"
20041350,2004,Female,16,8,"(1995,2016]"
20040022,2004,Female,14,9,"(1995,2016]"
19881078,1988,Male,14,9,"[1974,1995]"
20161903,2016,Male,16,6,"(1995,2016]"
20161935,2016,Female,12,3,"(1995,2016]"
20062154,2006,Female,16,5,"(1995,2016]"
19962325,1996,Female,12,5,"(1995,2016]"
19891248,1989,Male,12,4,"[1974,1995]"
20041817,2004,Female,12,7,"(1995,2016]"
19740677,1974,Female,0,6,"[1974,1995]"
20141490,2014,Male,12,6,"(1995,2016]"
19740734,1974,Female,12,7,"[1974,1995]"
19961824,1996,Male,18,8,"(1995,2016]"
19780167,1978,Male,8,3,"[1974,1995]"
20140887,2014,Female,16,6,"(1995,2016]"
20080353,2008,Male,16,2,"(1995,2016]"
20063664,2006,Male,12,4,"(1995,2016]"
19871210,1987,Female,12,7,"[1974,1995]"
20100552,2010,Female,6,4,"(1995,2016]"
19871208,1987,Male,14,8,"[1974,1995]"
20120011,2012,Male,10,2,"(1995,2016]"
19910874,1991,Female,17,4,"[1974,1995]"
19910855,1991,Female,12,5,"[1974,1995]"
19780743,1978,Female,10,5,"[1974,1995]"
20142057,2014,Female,19,4,"(1995,2016]"
20161839,2016,Male,14,7,"(1995,2016]"
20002584,2000,Female,15,7,"(1995,2016]"
19820817,1982,Male,18,10,"[1974,1995]"
20140108,2014,Female,16,8,"(1995,2016]"
19880325,1988,Female,12,9,"[1974,1995]"
20140599,2014,Male,16,5,"(1995,2016]"
19931536,1993,Female,10,3,"[1974,1995]"
20141963,2014,Female,12,5,"(1995,2016]"
19871295,1987,Female,11,1,"[1974,1995]"
20160817,2016,Female,16,5,"(1995,2016]"
19962278,1996,Female,12,4,"(1995,2016]"
20142384,2014,Female,17,8,"(1995,2016]"
19840754,1984,Female,10,4,"[1974,1995]"
19841116,1984,Male,11,3,"[1974,1995]"
19960823,1996,Male,12,4,"(1995,2016]"
20100400,2010,Female,14,7,"(1995,2016]"
20142540,2014,Male,12,6,"(1995,2016]"
19760130,1976,Female,12,5,"[1974,1995]"
20041155,2004,Female,16,6,"(1995,2016]"
19981400,1998,Female,18,4,"(1995,2016]"
19982752,1998,Male,12,6,"(1995,2016]"
19930663,1993,Male,12,6,"[1974,1995]"
19891201,1989,Female,15,6,"[1974,1995]"
19781392,1978,Female,12,6,"[1974,1995]"
19961530,1996,Female,12,7,"(1995,2016]"
19870435,1987,Male,14,6,"[1974,1995]"
19900149,1990,Male,14,6,"[1974,1995]"
19781240,1978,Male,10,6,"[1974,1995]"
19841131,1984,Female,8,3,"[1974,1995]"
20101251,2010,Female,10,4,"(1995,2016]"
19900115,1990,Male,13,8,"[1974,1995]"
20001465,2000,Male,12,7,"(1995,2016]"
19911135,1991,Male,12,6,"[1974,1995]"
19961773,1996,Female,12,5,"(1995,2016]"
19901372,1990,Male,12,2,"[1974,1995]"
19980373,1998,Male,16,7,"(1995,2016]"
19760395,1976,Female,12,6,"[1974,1995]"
19760363,1976,Male,16,6,"[1974,1995]"
20101107,2010,Female,13,6,"(1995,2016]"
20100417,2010,Female,11,7,"(1995,2016]"
19780269,1978,Male,12,5,"[1974,1995]"
19872285,1987,Male,15,6,"[1974,1995]"
20041725,2004,Female,11,6,"(1995,2016]"
19890156,1989,Female,12,6,"[1974,1995]"
19871264,1987,Male,9,7,"[1974,1995]"
19941045,1994,Male,13,5,"[1974,1995]"
19941550,1994,Male,18,10,"[1974,1995]"
20162535,2016,Female,15,6,"(1995,2016]"
20042466,2004,Female,14,7,"(1995,2016]"
19740463,1974,Female,16,9,"[1974,1995]"
19910019,1991,Female,14,5,"[1974,1995]"
19840445,1984,Male,8,6,"[1974,1995]"
19870334,1987,Female,12,4,"[1974,1995]"
19780437,1978,Female,17,9,"[1974,1995]"
20142020,2014,Male,13,8,"(1995,2016]"
19900570,1990,Male,12,4,"[1974,1995]"
19840144,1984,Female,13,6,"[1974,1995]"
20100629,2010,Female,14,3,"(1995,2016]"
19900847,1990,Male,13,7,"[1974,1995]"
20040672,2004,Male,17,5,"(1995,2016]"
19820134,1982,Female,14,8,"[1974,1995]"
20121073,2012,Male,12,6,"(1995,2016]"
19880164,1988,Female,13,7,"[1974,1995]"
19911253,1991,Male,14,5,"[1974,1995]"
20062411,2006,Male,16,8,"(1995,2016]"
19940904,1994,Female,19,7,"[1974,1995]"
20162834,2016,Male,8,4,"(1995,2016]"
19821145,1982,Female,12,5,"[1974,1995]"
20080343,2008,Female,14,5,"(1995,2016]"
19870736,1987,Female,9,6,"[1974,1995]"
19891155,1989,Male,13,5,"[1974,1995]"
20040534,2004,Male,18,8,"(1995,2016]"
20121594,2012,Female,12,5,"(1995,2016]"
20080461,2008,Female,12,6,"(1995,2016]"
20161920,2016,Female,11,4,"(1995,2016]"
20040510,2004,Female,16,0,"(1995,2016]"
19982015,1998,Female,14,4,"(1995,2016]"
19962869,1996,Female,12,4,"(1995,2016]"
19962294,1996,Male,12,6,"(1995,2016]"
20162785,2016,Female,11,4,"(1995,2016]"
20120963,2012,Female,12,6,"(1995,2016]"
20040485,2004,Female,15,6,"(1995,2016]"
19820731,1982,Female,12,7,"[1974,1995]"
20081452,2008,Male,20,8,"(1995,2016]"
20160785,2016,Female,12,5,"(1995,2016]"
19890353,1989,Male,12,5,"[1974,1995]"
19821082,1982,Male,9,1,"[1974,1995]"
19900860,1990,Female,14,10,"[1974,1995]"
19761634,1976,Female,12,6,"[1974,1995]"
20101503,2010,Female,20,10,"(1995,2016]"
19900826,1990,Female,14,7,"[1974,1995]"
19980156,1998,Female,10,7,"(1995,2016]"
19900375,1990,Female,16,10,"[1974,1995]"
20100039,2010,Female,13,8,"(1995,2016]"
19941454,1994,Female,18,9,"[1974,1995]"
20162642,2016,Female,16,8,"(1995,2016]"
19982330,1998,Female,13,7,"(1995,2016]"
20140929,2014,Male,12,5,"(1995,2016]"
19982118,1998,Female,14,7,"(1995,2016]"
20063782,2006,Female,12,6,"(1995,2016]"
19821084,1982,Female,12,3,"[1974,1995]"
20162619,2016,Female,14,8,"(1995,2016]"
19841136,1984,Male,12,7,"[1974,1995]"
20060744,2006,Female,11,5,"(1995,2016]"
20061637,2006,Female,15,6,"(1995,2016]"
19981255,1998,Female,14,6,"(1995,2016]"
19821422,1982,Male,7,7,"[1974,1995]"
20061468,2006,Male,18,6,"(1995,2016]"
19820327,1982,Female,7,5,"[1974,1995]"
19930702,1993,Male,13,7,"[1974,1995]"
19930289,1993,Female,18,10,"[1974,1995]"
20160228,2016,Male,16,5,"(1995,2016]"
19781237,1978,Female,16,9,"[1974,1995]"
20141930,2014,Male,12,7,"(1995,2016]"
19941990,1994,Female,12,2,"[1974,1995]"
19941098,1994,Male,16,7,"[1974,1995]"
20141123,2014,Female,16,7,"(1995,2016]"
20060786,2006,Female,12,5,"(1995,2016]"
20081568,2008,Female,12,7,"(1995,2016]"
19900931,1990,Male,20,9,"[1974,1995]"
20142065,2014,Female,16,9,"(1995,2016]"
19781378,1978,Male,20,10,"[1974,1995]"
19890296,1989,Male,16,9,"[1974,1995]"
19942162,1994,Male,15,5,"[1974,1995]"
19960111,1996,Female,13,7,"(1995,2016]"
20001217,2000,Female,14,6,"(1995,2016]"
20060403,2006,Female,14,5,"(1995,2016]"
19841432,1984,Male,17,9,"[1974,1995]"
19880848,1988,Male,11,4,"[1974,1995]"
19880438,1988,Female,12,4,"[1974,1995]"
20141604,2014,Female,14,7,"(1995,2016]"
19740470,1974,Male,16,6,"[1974,1995]"
19890157,1989,Male,12,6,"[1974,1995]"
20063909,2006,Male,11,6,"(1995,2016]"
19890659,1989,Female,12,6,"[1974,1995]"
20040443,2004,Male,17,9,"(1995,2016]"
20080048,2008,Female,16,6,"(1995,2016]"
19880898,1988,Female,16,7,"[1974,1995]"
19890566,1989,Male,12,6,"[1974,1995]"
19910390,1991,Female,12,7,"[1974,1995]"
20161998,2016,Female,17,10,"(1995,2016]"
20120816,2012,Male,12,6,"(1995,2016]"
20160896,2016,Female,12,8,"(1995,2016]"
19941288,1994,Male,12,4,"[1974,1995]"
20100160,2010,Male,16,8,"(1995,2016]"
19981849,1998,Female,16,9,"(1995,2016]"
19740746,1974,Male,14,7,"[1974,1995]"
20160553,2016,Male,12,4,"(1995,2016]"
20080709,2008,Male,12,1,"(1995,2016]"
19960812,1996,Male,12,4,"(1995,2016]"
20000703,2000,Male,12,5,"(1995,2016]"
19931022,1993,Female,11,5,"[1974,1995]"
20002812,2000,Male,12,5,"(1995,2016]"
19911430,1991,Female,16,6,"[1974,1995]"
20041892,2004,Male,18,9,"(1995,2016]"
20142543,2014,Female,12,6,"(1995,2016]"
19740991,1974,Male,17,10,"[1974,1995]"
19890993,1989,Male,11,4,"[1974,1995]"
19880393,1988,Male,18,7,"[1974,1995]"
20063048,2006,Female,10,7,"(1995,2016]"
20121601,2012,Female,16,4,"(1995,2016]"
19821296,1982,Male,14,3,"[1974,1995]"
20142343,2014,Female,16,6,"(1995,2016]"
20061810,2006,Female,15,8,"(1995,2016]"
20101027,2010,Female,13,7,"(1995,2016]"
20160098,2016,Male,16,4,"(1995,2016]"
19820415,1982,Male,8,4,"[1974,1995]"
20100962,2010,Male,17,7,"(1995,2016]"
19761347,1976,Male,12,4,"[1974,1995]"
19840859,1984,Female,12,4,"[1974,1995]"
20001888,2000,Female,16,6,"(1995,2016]"
19942974,1994,Female,10,7,"[1974,1995]"
19780553,1978,Female,11,5,"[1974,1995]"
20141147,2014,Female,16,6,"(1995,2016]"
19761594,1976,Female,8,4,"[1974,1995]"
20000833,2000,Female,12,7,"(1995,2016]"
19740057,1974,Male,5,2,"[1974,1995]"
19841178,1984,Female,12,6,"[1974,1995]"
19962497,1996,Male,12,5,"(1995,2016]"
20141404,2014,Male,12,9,"(1995,2016]"
20081768,2008,Male,12,5,"(1995,2016]"
20160779,2016,Male,12,7,"(1995,2016]"
19870661,1987,Female,12,6,"[1974,1995]"
19820247,1982,Male,16,7,"[1974,1995]"
20162252,2016,Female,12,5,"(1995,2016]"
20100154,2010,Male,9,4,"(1995,2016]"
19900233,1990,Female,16,9,"[1974,1995]"
19780695,1978,Male,8,6,"[1974,1995]"
19890459,1989,Female,12,5,"[1974,1995]"
19820804,1982,Female,12,5,"[1974,1995]"
19840769,1984,Female,12,8,"[1974,1995]"
19781424,1978,Female,8,5,"[1974,1995]"
19890897,1989,Male,12,6,"[1974,1995]"
19740130,1974,Female,15,5,"[1974,1995]"
20160672,2016,Female,12,7,"(1995,2016]"
19962173,1996,Male,13,5,"(1995,2016]"
20160363,2016,Male,16,9,"(1995,2016]"
19940470,1994,Male,12,9,"[1974,1995]"
19890999,1989,Female,16,6,"[1974,1995]"
19910938,1991,Male,9,6,"[1974,1995]"
20162071,2016,Male,16,9,"(1995,2016]"
19940104,1994,Female,12,5,"[1974,1995]"
20120741,2012,Female,16,6,"(1995,2016]"
19870250,1987,Male,12,6,"[1974,1995]"
19960034,1996,Female,16,9,"(1995,2016]"
20081442,2008,Male,8,6,"(1995,2016]"
20160131,2016,Male,12,1,"(1995,2016]"
19911106,1991,Male,12,9,"[1974,1995]"
19962108,1996,Male,7,6,"(1995,2016]"
19890218,1989,Female,14,4,"[1974,1995]"
20064148,2006,Male,13,8,"(1995,2016]"
20161216,2016,Female,11,7,"(1995,2016]"
19822018,1982,Female,13,7,"[1974,1995]"
19740151,1974,Male,11,6,"[1974,1995]"
19910888,1991,Female,12,8,"[1974,1995]"
19740124,1974,Female,8,4,"[1974,1995]"
20100850,2010,Female,16,9,"(1995,2016]"
19871397,1987,Female,12,4,"[1974,1995]"
19760046,1976,Male,16,9,"[1974,1995]"
20160437,2016,Male,13,5,"(1995,2016]"
20000706,2000,Male,11,4,"(1995,2016]"
19891125,1989,Female,17,6,"[1974,1995]"
20120938,2012,Male,13,9,"(1995,2016]"
20142489,2014,Female,13,6,"(1995,2016]"
19741143,1974,Female,16,8,"[1974,1995]"
20063397,2006,Male,11,5,"(1995,2016]"
19780761,1978,Male,13,9,"[1974,1995]"
19780694,1978,Female,8,6,"[1974,1995]"
19910731,1991,Female,18,10,"[1974,1995]"
19890485,1989,Female,14,7,"[1974,1995]"
19891025,1989,Male,14,9,"[1974,1995]"
20121252,2012,Male,16,9,"(1995,2016]"
20064167,2006,Female,13,7,"(1995,2016]"
19961723,1996,Male,12,4,"(1995,2016]"
19760730,1976,Female,10,6,"[1974,1995]"
20100519,2010,Female,12,9,"(1995,2016]"
19740542,1974,Female,15,3,"[1974,1995]"
19941701,1994,Female,19,9,"[1974,1995]"
19940545,1994,Female,16,5,"[1974,1995]"
19910633,1991,Female,9,7,"[1974,1995]"
19880696,1988,Male,20,10,"[1974,1995]"
19761624,1976,Female,12,8,"[1974,1995]"
20061145,2006,Male,16,8,"(1995,2016]"
19872222,1987,Female,14,7,"[1974,1995]"
20042734,2004,Female,16,5,"(1995,2016]"
19931337,1993,Female,12,1,"[1974,1995]"
20063958,2006,Female,12,6,"(1995,2016]"
19870991,1987,Female,12,6,"[1974,1995]"
20101864,2010,Female,12,1,"(1995,2016]"
20141899,2014,Male,14,3,"(1995,2016]"
20002296,2000,Female,6,2,"(1995,2016]"
19961935,1996,Female,14,6,"(1995,2016]"
19840954,1984,Female,16,10,"[1974,1995]"
19760508,1976,Female,10,4,"[1974,1995]"
20061412,2006,Female,16,9,"(1995,2016]"
19981364,1998,Male,16,8,"(1995,2016]"
19870212,1987,Male,16,10,"[1974,1995]"
19761706,1976,Male,12,1,"[1974,1995]"
20100156,2010,Female,12,6,"(1995,2016]"
20061493,2006,Female,15,8,"(1995,2016]"
19900564,1990,Female,12,3,"[1974,1995]"
19870527,1987,Male,14,6,"[1974,1995]"
20162315,2016,Male,11,6,"(1995,2016]"
20162128,2016,Male,14,6,"(1995,2016]"
19881470,1988,Male,13,4,"[1974,1995]"
20042693,2004,Male,12,6,"(1995,2016]"
19930122,1993,Male,15,3,"[1974,1995]"
19870082,1987,Female,13,6,"[1974,1995]"
20101015,2010,Female,13,6,"(1995,2016]"
19781225,1978,Male,16,7,"[1974,1995]"
19942223,1994,Female,14,6,"[1974,1995]"
20100205,2010,Male,12,8,"(1995,2016]"
19820396,1982,Female,12,9,"[1974,1995]"
19740739,1974,Female,8,2,"[1974,1995]"
20121651,2012,Female,14,8,"(1995,2016]"
19980356,1998,Male,11,3,"(1995,2016]"
20101324,2010,Male,12,8,"(1995,2016]"
19840090,1984,Female,13,3,"[1974,1995]"
19780382,1978,Female,8,5,"[1974,1995]"
20041680,2004,Male,14,5,"(1995,2016]"
20042744,2004,Male,18,9,"(1995,2016]"
19890144,1989,Female,14,6,"[1974,1995]"
19871307,1987,Female,16,4,"[1974,1995]"
20062516,2006,Female,16,7,"(1995,2016]"
19942087,1994,Male,12,7,"[1974,1995]"
20121746,2012,Male,12,2,"(1995,2016]"
19930026,1993,Male,13,9,"[1974,1995]"
19960193,1996,Male,12,5,"(1995,2016]"
19880489,1988,Female,12,5,"[1974,1995]"
19981821,1998,Female,12,2,"(1995,2016]"
19890518,1989,Male,16,10,"[1974,1995]"
20140930,2014,Female,16,7,"(1995,2016]"
19961252,1996,Female,12,5,"(1995,2016]"
19840112,1984,Male,9,4,"[1974,1995]"
20042557,2004,Female,14,3,"(1995,2016]"
19760223,1976,Male,7,4,"[1974,1995]"
19891484,1989,Male,12,2,"[1974,1995]"
20121845,2012,Female,20,6,"(1995,2016]"
20062677,2006,Female,13,8,"(1995,2016]"
19942718,1994,Female,12,5,"[1974,1995]"
20063858,2006,Female,16,10,"(1995,2016]"
20161439,2016,Male,16,7,"(1995,2016]"
19880776,1988,Female,14,7,"[1974,1995]"
19761167,1976,Male,12,5,"[1974,1995]"
19840252,1984,Female,14,8,"[1974,1995]"
20140627,2014,Female,16,3,"(1995,2016]"
19820712,1982,Male,7,4,"[1974,1995]"
19760415,1976,Male,10,3,"[1974,1995]"
19931317,1993,Female,13,5,"[1974,1995]"
19780647,1978,Male,13,7,"[1974,1995]"
19960338,1996,Male,12,5,"(1995,2016]"
19981415,1998,Male,15,6,"(1995,2016]"
19881321,1988,Male,12,4,"[1974,1995]"
20060053,2006,Female,13,5,"(1995,2016]"
19880976,1988,Female,14,6,"[1974,1995]"
20101069,2010,Female,16,10,"(1995,2016]"
20161607,2016,Female,13,5,"(1995,2016]"
20040781,2004,Male,16,9,"(1995,2016]"
20141965,2014,Male,9,2,"(1995,2016]"
19880861,1988,Female,10,5,"[1974,1995]"
19961034,1996,Male,18,9,"(1995,2016]"
20064380,2006,Male,12,7,"(1995,2016]"
20120423,2012,Male,11,8,"(1995,2016]"
20161654,2016,Male,12,5,"(1995,2016]"
19840971,1984,Female,12,7,"[1974,1995]"
20160004,2016,Female,12,5,"(1995,2016]"
20063379,2006,Female,14,7,"(1995,2016]"
19761016,1976,Male,11,4,"[1974,1995]"
19761411,1976,Male,9,5,"[1974,1995]"
19940335,1994,Male,12,5,"[1974,1995]"
20121602,2012,Female,12,6,"(1995,2016]"
19881412,1988,Male,12,3,"[1974,1995]"
20062199,2006,Female,20,10,"(1995,2016]"
19870878,1987,Female,12,6,"[1974,1995]"
19780909,1978,Female,11,6,"[1974,1995]"
20080059,2008,Female,16,7,"(1995,2016]"
19940112,1994,Male,20,9,"[1974,1995]"
19761455,1976,Female,12,10,"[1974,1995]"
19872112,1987,Female,12,4,"[1974,1995]"
20042193,2004,Male,12,6,"(1995,2016]"
19870478,1987,Female,12,8,"[1974,1995]"
19961657,1996,Male,16,8,"(1995,2016]"
19871451,1987,Female,14,7,"[1974,1995]"
20160339,2016,Female,16,6,"(1995,2016]"
20080719,2008,Male,16,5,"(1995,2016]"
20100211,2010,Female,11,2,"(1995,2016]"
20040769,2004,Female,11,5,"(1995,2016]"
20042666,2004,Male,12,4,"(1995,2016]"
20161746,2016,Male,16,8,"(1995,2016]"
20040988,2004,Male,12,6,"(1995,2016]"
19840349,1984,Male,13,7,"[1974,1995]"
19781421,1978,Female,12,8,"[1974,1995]"
19910859,1991,Male,15,6,"[1974,1995]"
19891515,1989,Female,12,6,"[1974,1995]"
20121485,2012,Female,16,6,"(1995,2016]"
20162271,2016,Male,12,6,"(1995,2016]"
20142371,2014,Male,16,9,"(1995,2016]"
19930618,1993,Male,10,6,"[1974,1995]"
