price	openbid	auction_type
199.99	74.9	7 day auction
240	1	7 day auction
227.5	0.01	7 day auction
177.5	149.99	7 day auction
240	0.01	7 day auction
245	240	7 day auction
225	225	7 day auction
227.5	40	7 day auction
217	5	7 day auction
255.01	150	7 day auction
222.5	50	7 day auction
232.5	190	3 day auction
210.1	175	3 day auction
213.51	9.95	7 day auction
207.5	0.01	7 day auction
215	9.95	7 day auction
242.5	240	7 day auction
225	0.01	3 day auction
217.5	10	5 day auction
232.5	9.95	7 day auction
227.5	9.95	7 day auction
227.5	89	5 day auction
227.5	1	7 day auction
247.5	240	7 day auction
255	1	5 day auction
218.15	9.99	5 day auction
250	250	7 day auction
235.02	150	3 day auction
250.01	50	3 day auction
207.5	15	5 day auction
265	9.95	7 day auction
227.5	99	3 day auction
222.5	175	3 day auction
227.5	1	7 day auction
212.5	9.99	5 day auction
214.5	1	3 day auction
242.5	1	7 day auction
211	175	3 day auction
208.88	175	3 day auction
203.5	150	3 day auction
222.5	9.99	7 day auction
212.5	9.99	7 day auction
255.5	9.95	7 day auction
175	175	3 day auction
182.5	175	5 day auction
202.5	175	5 day auction
201.01	175	7 day auction
204.03	175	7 day auction
232.5	1	7 day auction
228.01	50	7 day auction
177	1	7 day auction
190	1	7 day auction
242.5	240	3 day auction
202.5	150	7 day auction
242.5	9.99	7 day auction
222.5	175	3 day auction
239.01	1	7 day auction
240	1	7 day auction
245	245	5 day auction
236.99	1	7 day auction
207.5	5	7 day auction
212.5	175	3 day auction
202.5	175	3 day auction
237.5	1	7 day auction
237.65	9.95	7 day auction
240	240	3 day auction
240	240	7 day auction
280	50	7 day auction
205	1	7 day auction
217.75	1	7 day auction
242.5	1	7 day auction
217.5	1	3 day auction
187.52	10	7 day auction
225	150	7 day auction
240	9.95	7 day auction
202.5	175	3 day auction
202.5	175	3 day auction
232.5	1	7 day auction
200	9.99	7 day auction
202.5	9.99	7 day auction
197.62	175	3 day auction
202.5	175	3 day auction
202.49	175	3 day auction
226.01	9.95	7 day auction
240	240	5 day auction
230	1	7 day auction
247.5	1	7 day auction
237.5	179.99	7 day auction
209.02	179.99	7 day auction
255	1	7 day auction
262.61	1	7 day auction
207.49	175	3 day auction
237.5	9.95	7 day auction
215	150	3 day auction
242.5	1	7 day auction
255	99.99	7 day auction
237.5	9.95	7 day auction
212.5	175	3 day auction
261	240	7 day auction
240	240	5 day auction
242.51	199	3 day auction
255	1	7 day auction
240.07	1	7 day auction
247.5	9.95	7 day auction
222.5	0.01	5 day auction
259.95	259.95	7 day auction
175	175	3 day auction
217.5	175	3 day auction
232.5	1	7 day auction
200	175	3 day auction
200	175	3 day auction
202.49	175	3 day auction
190	175	3 day auction
222.5	1	7 day auction
178	19.99	3 day auction
182.5	19.99	3 day auction
237.5	1	7 day auction
227.5	1	7 day auction
197.5	175	3 day auction
206	175	3 day auction
210	9.99	7 day auction
230.5	1	7 day auction
195.5	175	3 day auction
209.5	175	3 day auction
175	175	3 day auction
265	185	3 day auction
202.5	202.5	3 day auction
197.5	175	3 day auction
224.01	200	3 day auction
250	70	5 day auction
245	9.99	3 day auction
202.5	175	3 day auction
225.01	5	3 day auction
229.51	175	3 day auction
190.5	175	3 day auction
240	240	5 day auction
203.5	175	3 day auction
197.5	175	3 day auction
212.5	175	3 day auction
192.51	1	3 day auction
232.5	9.99	7 day auction
257	9.99	3 day auction
